content_id,name,element,rarity,tap,slide,drive,leader,lv1,lv70
589625,引人注目的艾修,水,史诗,10秒内，1名水属性盟友+1300屏障16秒内3次，1名水属性盟友的skill防御力+15%,,,,,LV70
589626,神枪手希尔德,光,史诗,有40%概率自身获得远距离攻击（无视敌人的挑衅、反射）,,,SS技能伤害+7.5%，永远套用所有光属性盟友,,LV70
589628,古弦乐师自请妃,光,传奇,,,赋予全体光属性盟友狂暴（攻击力+40%且无敌，但效果结束时有100%机率晕昡目标5秒），持续20秒,skill充能量+7.5%，永远套用所有光属性队友,,LV70
169269,渴望的维尔德,火,史诗,,有45%的机率对2名敌人(流血中)造成擦伤(增加流血持续伤害和持续时间)，持续12秒,2名盟友(高攻击力)的Skill量表+ 15%,,,LV70
169271,净火的狄蜜特,火,史诗,对攻击目标中的木属性敌人造成250加成伤害,对攻击目标中的2名敌人(低HP)造成猛毒(70持续伤害。 回复、持续回复-50%，无法缩短或延长减益)，持续12秒,,,,LV70
169272,转世的柳道士,木,史诗,,2名盟友(低HP)防御力+25%，持续16秒,为全体盟友回复+ 1200HP,,,LV70
169273,祈祷的钵里,水,史诗,启动机率: 75%有100%的机率对攻击目标造成禁止回复(吸血/HP吸取除外)，持续8秒,对攻击目标中的2名敌人(受增益)造成烙印(每4秒造成70持续伤害，并根据目标增益数造成加成伤害， 最多6个增益)，持续20秒,,,,LV70
169275,虚幻的迪朗达尔,暗,史诗,1名盟友(高攻击力)暴击率+20%， 持续10秒,2名暗属性盟友(高攻击力)的Slide Skill伤害+30%，持续16秒,,,,LV70
169276,沙漠的荷鲁斯,光,史诗,攻击目标中1名随机敌人的攻击力-15%，持续8秒,,,全体敌人的攻击力-7.5%,,LV70
169277,欺瞒的坎普斯,木,史诗,,,对攻击目标中的3名随机敌人造成炸弹(在6秒后造成1500伤害)，持续6秒,木属性盟友的Slide Skill最终伤害+7.5%,,LV70
169278,和谐的梅芙,火,史诗,,对攻击目标中的木属性敌人造成400加成伤害,,火属性盟友的Tap Skill最终伤害+7.5%,,LV70
169279,情报员布朗尼,木,史诗,,2名木属性盟友减益持续时间-15%，持续16秒,,木属性盟友的Skill量表充能速度+7.5%,,LV70
169280,正义的玛弗德特,光,史诗,,有100%的机率对攻击目标中的3名随机敌人造成禁止回复(吸血/HP吸取除外)， 持续12秒,,光属性盟友的Skill伤害+7.5%,,LV70
169281,冰刃尤弥尔,水,史诗,自身所有Skill伤害防御力+15%，持续8秒,赋予自身不死(HP不会低于1)，持续10秒,,,,LV70
169282,月光狼人,暗,史诗,有40%的机率赋予2名攻击型阍属性盟友觉醒(暴击伤害增加30%，并根据自身增益数增加Slide Skill伤害)，持续10秒,,,暗属性盟友的攻击力+7.5%,,LV70
169284,沉着的迈达斯,木,史诗,,攻击目标中2名敌人(低防御力)的弱点防御-20%，持续12秒,,全体敌人的弱点防御-7.5%,,LV70
169285,魔方摩亚,光,史诗,,有40%的机率对攻击目标中的2名敌人(高攻击力)造成石化(16秒内无法行动，除非受到2次攻击)，持续16秒,有40%的机率对攻击目标中的2名随机敌人造成石化(20秒内无法行动，除非受到3次攻击),,,LV70
169286,蓝暗影奥尔加,水,史诗,攻击目标中1名随机敌人的Skill量表充能速度-20%，持续8秒,有40%的机率对攻击目标中的随机2名敌人造成沉默(无法使用技能，并重设Skill量表)，持续4秒,,,,LV70
169287,恶棍亚巴顿,木,史诗,对攻击目标中的水属性敌人造成250加成伤害,将300吸收为自身的HP,,,,LV70
169288,沸腾的黑帝斯,火,史诗,赋予自身屏障+1300(在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用)，持续10秒,赋予自身反射(反射10%受到的伤害)，持续16秒,,,,LV70
169290,白翼的迪亚布罗,光,史诗,,赋予自身激怒(最多累积200%所受伤害，并一次回击)， 持续1阶段,,全体盟友的所有Skill伤害防御力+7.5%,,LV70
169292,西方的欧洛拉,火,史诗,,为2名盟友(低HP)回复+1200HP,5名盟友(低HP)持续回复+ 130HP(每2秒1次)，持续16秒,,,LV70
169293,传教的黛娜,光,史诗,赋予自身无效化，持续3秒,对4名随机盟友赋予屏障+ 1300(在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用)，持续16秒,,,,LV70
169295,守卫雷德克洛斯,暗,史诗,,对2名暗属性盟友赋予反射(反射10%受到的伤害)，持续16秒,,全体盟友的所有Skill伤害防御力+7.5%,,LV70
169297,A.I,暗,史诗,赋予自身挑衅(有75%的机率发动)，持续8秒,3名随机盟友防御力+25%，持续16秒,,,,LV70
169302,小小的迪娜希,火,史诗,赋予2名火属性盟友屏障+ 1300(在HP受影响前，吸收所有敌方攻击伤害， 无法与减益屏障同时启用)，持续10秒,3名火属性盟友获得40%双刃剑(增加攻击力， 降低防御力)，持续16秒,,,,LV70
169305,做梦的那伊阿得斯,水,史诗,2名盟友(高攻击力)的Skill量表充能速度+40%，持续10秒,发动几率: 75%3名水属性盟友的Skill冷却时间-1秒，持续2回合,,,,LV70
169307,独裁的伊莉莎白,暗,史诗,,,对4名随机敌人造成流血(每2秒造成70持续伤害)，持续18秒,暗属性盟友的Slide Slill伤害+7.5%,,LV70
169309,冒险家艾波娜,木,史诗,1名盟友(高攻击力)减益回避率+15%，持续10秒,,,木属性盟友的防御力+7.5%,,LV70
169310,优柔寡断的鲁萨尔卡,水,史诗,,2名盟友(低HP)持续回复+130HP(每2秒1次)，持续12秒,发动几率: 75%赋予2名盟友(低HP)不死(HP不会低于1)，持续16秒,,,LV70
169314,野生的芭丝黛特,光,史诗,对攻击目标中的暗属性敌人造成250加成伤害,对攻击目标中的2名随机敌人造成失明(减少攻击命中率20%)，持续12秒,,,,LV70
169316,天真的绪林克斯,木,史诗,,发动几率:75%1名盟友(低HP)获得忍耐(16秒后或是受到4次物理攻击后移除)，持续16秒,2名盟友(低HP)持续回复+130HP(每2秒1次)， 持续16秒,,,LV70
169317,未知的桑纳托斯人偶,水,史诗,对2名敌人(高攻击力)造成中毒(每当目标行动时，造成400伤害，并在受到伤害时附加加成伤害)，持续3回合,LV1,LV1,水属性盟友的Drive Skill伤害+7.5%,,LV70
169318,无名的赛莲,木,史诗,自身获得吸血(攻击时回复300HP)，持续10秒,对攻击目标造成400加成伤害,,,,LV70
169319,驱魔师尼尔提,光,史诗,,有40%的机率对攻击目标中的1名随机敌人造成混乱，持续10秒,攻击目标中1名随机敌人的Drive量表-3.5%,,,LV70
169320,兰菲,暗,史诗,,攻击目标中1名随机敌人的Drive量表-3.5%,,全体敌人的攻击力-7.5%,,LV70
169321,迟疑的梅提斯,暗,史诗,,发动机率: 75%对1名盟友(低HP)赋予不死(HP不会低于1)，持续10秒,,对全体攻击型盟友赋予狂暴(攻击力+40%和无敌。效果结束时一律对目标造成5秒晕眩)，持续20秒,,LV70
169322,黑炎的赫斯提亚,火,史诗,,对攻击目标中的2名敌人(低HP)造成流血(每2秒70持续伤害)， 持续14秒,,火属性盟友的Drive Skill最终伤害+7.5%,,LV70
169324,歌唱的亚莉亚,光,史诗,赋予1名盟友(低HP)屏障+ 1300(在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用)，持续10秒,自身Drive量表+ 7%HP,,,,LV70
169325,无目标的潘迪恩,暗,史诗,1名攻击型盟友暴击率+20%，持续10秒,1名盟友(高攻击力)暴击最终伤害+30%，持续16秒,,,,LV70
169326,自负的赫拉,木,史诗,2名盟友(低HP)中毒伤害防御力20%， 持续10秒,3名盟友(低HP)获得所有Skill伤害防御力+ 15%(16秒后或是受到4次攻击后移除)，持续16秒,,,,LV70
169342,浪费家荷米斯,火,史诗,1名攻击型盟友攻击力+25%，持续10秒,,,火属性盟友的攻击力+7.5%,,LV70
169344,疾走的玛尔斯,水,史诗,将300吸收为自身的HP,赋予全体盟友屏障+1300(在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用)，持续16秒,,,,LV70
169197,沉默的红鼻子,木,稀有,,有45%的机会移除2名木属性盟友（减益状态）的1个减益,,,,LV70
169199,沉默的妖精,火,稀有,,,,火属性盟友的最大HP+700,,LV70
169200,守卫安卡,木,稀有,,,攻击目标的Drive量表-3%,,,LV70
169202,旁观者奥德修斯,木,稀有,2名盟友（低HP）回避率+12.5%，持续10秒,,,,,LV70
169203,拦网崔斯坦,木,稀有,,,,木属性盟友的 Slide Skill 最终伤害+5%,,LV70
169204,敬爱皮耶塔丝,暗,稀有,,对攻击目标中的光属性敌人造成350加成伤害,,,,LV70
169205,做梦的未知者,暗,稀有,2名暗属性盟友减益回避率+12.5%，持续10秒,,,,,LV70
169207,唱歌的芭丝特,光,稀有,2名光属性盟友弱点攻击防御力+12.5%，持续10秒,,,,,LV70
169208,暗夜祭泰风,暗,稀有,,,赋予2名暗属性盟友屏障+1150（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用），持续20秒,,,LV70
169210,一触即发的达奴,水,稀有,对攻击目标中的火属性敌人造成225加成伤害,,,,,LV70
169211,斗志高昂的海克力士,光,稀有,,赋予自身挑衅（有70%的机率发动），持续12秒,,,,LV70
169212,电光阿尔戈斯,水,稀有,,,攻击目标中2名随机敌人的 Skill 量表充能量-17.5%，持续16秒,,,LV70
169213,幻想的达芙妮,火,稀有,,为2名盟友（低HP）回复+1050HP,,,,LV70
169214,虚假的海翠克,木,稀有,,,赋予全体木属性盟友吸血（攻击时回复500HP），持续20秒,,,LV70
169215,不请自来的鲁道夫,火,稀有,,有35%的机率赋予自身攻守互换（攻击力和防御力数值互换），持续12秒,,,,LV70
169216,恍惚的艾德拉多,火,稀有,赋予自身挑衅（有70%的机率发动），持续8秒,,,,,LV70
169217,异界的梅林,光,稀有,,,,光属性盟友的减益回避率+5%,,LV70
169218,沉默的厄洛斯,暗,稀有,,,为2名盟友（低HP）回复+1050HP,,,LV70
169219,小公主希栢利,暗,稀有,自身获得吸血（攻击时回复250HP），持续10秒,,,,,LV70
169220,模仿的伊西斯,水,稀有,为1名盟友（低HP）回复+325HP,,,,,LV70
169221,鲁莽的赫尔莫德,光,稀有,,赋予自身激怒（最多累积150%所受伤害，并一次回击），持续1阶段,,,,LV70
169222,闪耀的尤娜,火,稀有,,对攻击目标中的木属性敌人造成350加成伤害,,,,LV70
169223,盛夏希比,水,稀有,,,,水属性盟友的中毒伤害+80,,LV70
169224,小丑伊南娜,暗,稀有,对攻击目标造成225无视防御伤害,,,,,LV70
169225,决战的提泰妮亚,光,稀有,,对攻击目标中的暗属性敌人造成350加成伤害,,,,LV70
169226,固执的弗林斯,火,稀有,,有35%的机率对攻击目标中的1名随机敌人造成晕眩（受到攻击时额外晕眩1秒，5秒为上限），持续4秒,,,,LV70
169227,独善其身的阿顿,暗,稀有,,赋予自身反射（反射8%受到的伤害），持续16秒,,,,LV70
169228,热血的阿伽门农,木,稀有,,,攻击目标的Skill量表充能量-17.5%，持续16秒,,,LV70
169229,梦幻的万圣节,水,稀有,,赋予自身挑衅（有70%的机率发动），持续12秒,,,,LV70
169230,束缚的蕾蒂,火,稀有,,赋予自身屏障+1150（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用），持续16秒,,,,LV70
169231,黎明的断头台,暗,稀有,对攻击目标中的光属性敌人造成225加成伤害,,,,,LV70
169232,镜之维多莉丝,光,稀有,,有100%的机率对攻击目标造成禁止回复（吸血/HP吸取除外），持续12秒,,,,LV70
169233,流浪的艾莉希恩,水,稀有,,对攻击目标造成中毒（每当目标行动时，造成350伤害，并在受到伤害时附加加成伤害），持续3回合,,,,LV70
169234,啦啦队长塔莉亚,火,稀有,,,2名盟友（高攻击力）攻击力+22.5%，持续20秒,,,LV70
169235,束缚的伊丝塔,光,稀有,,,,全体敌人的减益回避率-5%,,LV70
169236,仿生人撒拉,水,稀有,,,2名水属性盟友防御力+22.5%，持续20秒,,,LV70
169237,严厉的托特,水,稀有,自身所有Skill伤害防御力+12.5%，持续8秒,,,,,LV70
169238,独白的阿莫尔,木,稀有,,对攻击目标中的水属性敌人造成350加成伤害,,,,LV70
169239,花园的波摩纳,光,稀有,,,2名盟友（低HP）持续回复+120HP（每2秒1次），持续16秒,,,LV70
169240,暗夜的缪思,木,稀有,,,,水属性敌人的弱点防御力-5%,,LV70
169241,草原的芙萝拉,木,稀有,,2名木属性盟友防御力+22.5%，持续16秒,,,,LV70
169242,忠诚的雅加,水,稀有,,,,火属性敌人的Skill量表充能速度-5%,,LV70
169243,悲伤的商籁,水,稀有,对攻击目标造成中毒（每当目标行动时，造成350伤害，并在受到伤害时附加加成伤害），持续3回,,,,,LV70
169244,无聊的墨尔波墨涅,暗,稀有,,,1名盟友（高攻击力）Skill伤害+25%，持续20秒,,,LV70
169245,战场的涅伊特,火,稀有,对攻击目标造成225无视防御伤害,,,,,LV70
169246,巧手的卡尔克斯,光,稀有,,攻击目标的持续回复量-17.5%，持续12秒,,,,LV70
169247,努力的奎里努斯,水,稀有,,2名水属性盟友的Skill量表充能速度+37.5%，持续16秒,,,,LV70
169248,探险家芬里尔,火,稀有,对攻击目标中的木属性敌人造成225加成伤害,,,,,LV70
169249,挑战者安布罗西亚,木,稀有,,,,木属性盟友的Slide skill伤害+5%,,LV70
169250,盛开的艾拉托,光,稀有,有45%的机率移除1名盟友（持续伤害状态）的持续伤害效果,,,,,LV70
169251,羞怯的弗雷希亚,火,稀有,,,,全体敌人的防御力-5%,,LV70
169252,芬芳的欧罗巴,木,稀有,,,,赋予木属性盟友吸血（攻击时回复200HP）,,LV70
169253,逆袭的缇西福涅,木,稀有,,自身获得吸血（攻击时回复250HP），持续16秒,,,,LV70
169254,忧郁的尼曼,暗,稀有,,,攻击目标中2名敌人（高攻击力）的攻击力-15%，持续16秒,,,LV70
169255,愤怒的摩莉甘,暗,稀有,,,,暗属性盟友的Slide Skill伤害+5%,,LV70
169256,黎明普西芬尼,暗,稀有,,攻击目标的弱点防御-17.5%，持续12秒,,,,LV70
169257,流浪的少女侦探,光,稀有,,,攻击目标的回复量-17.5%，持续16秒,,,LV70
169258,暗夜塞勒涅,木,稀有,赋予1名盟友（低HP）屏障+1150（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用），持续10秒,,,,,LV70
169259,成功的勒达,光,稀有,,2名盟友（低HP）持续回复量+17.5%，持续16秒,,,,LV70
169260,欣喜的厄俄斯,光,稀有,对攻击目标中的暗属性敌人造成225加成伤害,,,,,LV70
169262,懒散的玛雅乌尔,水,稀有,,1名盟友（高攻击力）的Skill量表充能量+32.5%，持续16秒,,,,LV70
169263,危险的福尔图娜,火,稀有,,有45%的机率移除2名盟友（混乱中）的混乱,,,,LV70
169264,小不点格蕾,木,稀有,对攻击目标中的水属性敌人造成225加成伤害,,,,,LV70
169265,暗夜的阿提蜜丝,暗,稀有,,对攻击目标造成350无视防御伤害,,,,LV70
169266,佣兵赫克特,火,稀有,,对攻击目标造成流血（每2秒造成60持续伤害），持续14秒,,,,LV70
169267,战士芙丽嘉,光,稀有,,,,光属性盟友的回避率+5%,,LV70
169289,卑微的仙女琉刻,光,罕见,,,2名盟友（低HP）持续回复+110HP（每2秒1次），持续16秒,,,LV70
169291,诅咒的斯库尔德,暗,罕见,,,攻击目标中的光属性敌人攻击力-12.5%，持续16秒,,,LV70
169294,满月亚娜,光,罕见,,,攻击目标中的暗属性敌人敏捷度-5%，持续6秒,,,LV70
169296,疾走的阿特丽波斯,木,罕见,,,对攻击目标中的水属性敌人造成500固定伤害,,,LV70
169298,深渊的塔丽塔洛斯,火,罕见,赋予1名火属性盟友减益屏障+800（不能与吸收减益伤害的护盾共用，不能与其他屏障共用），持续10秒,,,,,LV70
169299,奔跑的塞莎特,水,罕见,攻击目标的skill量表-15%,,,,,LV70
169301,花园的伊登,暗,罕见,,对攻击目标造成500固定伤害,,,,LV70
169303,突击阿塔兰塔,水,罕见,对攻击目标造成200加成伤害,,,,,LV70
169304,海市蜃楼魔甘娜,光,罕见,1名盟友（低HP）持续回复量+15%，持续10秒,,,,,LV70
169306,开心的欧洛斯,水,罕见,,1名水属性盟友的skill量表充能量+30%，持续16秒,,,,LV70
169308,狂暴的巴耳,暗,罕见,,,,赋予自身反射（反射4%受到的伤害）,,LV70
169312,聆听的阿瑞图萨,木,罕见,攻击目标的弱点防御-15%，持续8秒,,,,,LV70
169315,再生的兀儿肯,水,罕见,对攻击目标中的1名随机敌人造成中毒（每当目标行动时，造成300伤害，并在受到伤害时附加加成伤害），持续3回合,,,,,LV70
169328,暗夜的提亚玛特,火,罕见,,,攻击目标的防御力-5%，持续16秒,,,LV70
169330,猶大,火,罕见,,赋予1名火属性盟友屏障+1000（在HP受影响前，吸收所有敌方攻击伤害，无法与建议屏障同时启用），持续16秒,,,,LV70
169331,邻居处容,光,罕见,,,,光属性盟友的敏捷度+4%,,LV70
169333,梦想的黑卡蒂,水,罕见,,,,火属性敌人的skill量表充能速度-4%,,LV70
169334,燃烧的菲尼克斯,火,罕见,,赋予自身挑衅（有65%的概率发动），持续12秒,,,,LV70
169335,灼热的派罗,火,罕见,,,全体火属性盟友TS伤害+20%，持续20秒,,,LV70
169336,破坏的塞赫麦特,火,罕见,,对攻击目标的木属性敌人造成回避率-5%，持续12秒,,,,LV70
169337,捕捉的克拉托斯,暗,罕见,自身SS伤害+20%，持续10秒,,,,,LV70
169338,暗夜祭梅迪,火,罕见,,有100%的几率对攻击目标造成禁止回复（吸血/HP吸取除外），持续12秒启动概率：65%,,,,LV70
169340,夜下少女许普诺斯,火,罕见,,,,火属性盟友的攻击力+4%,,LV70
169341,战士瓦尔基丽,暗,罕见,自身暴击+14%，持续10秒,,,,,LV70
169343,名将吉妮丝,暗,罕见,,对攻击目标中的光属性敌人造成300加成伤害,,,,LV70
169345,你的萨耳玛西斯,光,罕见,,1名光属性盟友回复量+15%，持续16秒,,,,LV70
169346,创造的巴风特,水,罕见,,,,水属性盟友的防御力+4%,,LV70
169347,求道者以利亚,暗,罕见,,1名暗属性盟友暴击率+15%，持续16秒,,,,LV70
169349,闪耀的阿波罗,木,罕见,,,2名木属性盟友弱点攻击防御力+10%，持续20秒,,,LV70
169350,报复的美狄亚,暗,罕见,自身暴击率+15%，持续10秒,,,,,LV70
169351,热血的维斯塔,火,罕见,,自身TS伤害+20%，持续16秒,,,,LV70
169352,调味的高嘉,水,罕见,,,有40%的概率移除攻击目标的1个增益,,,LV70
169353,毒舌的巴里斯,木,罕见,,,,水属性敌人的弱点防御力-4%,,LV70
169354,断连的忒弥斯,光,罕见,,自身敏捷度+14%，持续16秒,,,,LV70
169357,修复的卜塔,木,罕见,,,,木属性盟友的防御力+4%,,LV70
169358,牺牲的贞德,水,罕见,,,有40%的几率移除2名盟友（受到减益）的1个减益,,,LV70
169359,守护的传奇,暗,罕见,,对攻击目标中的光属性敌人造成300无视防御伤害,,,,LV70
169360,狂言的比利特,光,罕见,,1名光属性盟友持续回复量+15%，持续16秒,,,,LV70
169362,守序的沙玛什,火,罕见,对攻击目标中的1个随机敌人造成流血（每2秒50持续伤害），持续10秒,,,,,LV70
169363,恶毒的卡莉普索,水,罕见,,,对攻击目标造成中毒（每当目标行动时，造成300伤害，并在受到伤害时附加加成伤害），持续4回合,,,LV70
169364,怠惰的缪妮摩西妮,水,罕见,攻击目标中1名随机敌人的skill量表充能速度-15%，持续8秒,,,,,LV70
169367,静谧的戴安娜,木,罕见,,,对2名木属性盟友赋予屏障+1000（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用），持续20秒,,,LV70
169368,活跃的阿莱克托,暗,罕见,1名盟友（低HP）减益回避率+10%，持续10秒,,,,,LV70
169369,天真的弗蕾亚,木,罕见,攻击时恢复HP200点,,,,,LV70
169370,觉醒的辛西亚,暗,罕见,1名暗属性盟友暴击最终伤害+20%，持续10秒,,,,,LV70
169371,激情的厄里丝,木,罕见,治疗只身+300HP,,,,,LV70
169372,看门犬库西,光,罕见,,赋予自身激怒（最多累积125%所受伤害，并一次回击），持续1阶段,,,,LV70
169373,奉仕的迪诺,水,罕见,,1名盟友（受到减益）持续回复+110HP（每2秒1次），持续12秒,,,,LV70
169374,虚张声势的狄蜜特,火,罕见,,为1名盟友（低HP）回复+900HP,,,,LV70
169375,妲比,火,罕见,,,对攻击目标造成流血（每2秒造成50持续伤害），持续18秒,,,LV70
169376,丽莎,水,罕见,,全体盟友skill伤害+20%，持续16秒,,,,LV70
169377,莫娜,暗,罕见,自身获得吸血（攻击时回复200HP），持续10秒,,,,,LV70
169382,好孩子的礼物袋,暗,常见,,,,全体盟友的暴击率+3%,,LV70
169385,冰王苍龙,水,常见,,赋予自身屏障+800（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用），持续16秒,,,,LV70
169389,黑羽的暗隆,暗,常见,1名暗属性盟友减益命中率+1%，持续10秒,,,,,LV70
169391,光羽的光隆,光,常见,1名光属性盟友命中率+5%，持续10秒,,,,,LV70
169393,绿羽的草隆,木,常见,1名木属性盟友弱点攻击最终伤害+10%，持续10秒,,,,,LV70
169396,红羽的火隆,火,常见,1名火属性盟友攻击力+15%，持续10秒,,,,,LV70
169399,水羽的波隆,水,常见,1名水属性盟友的Skill量表+3%,,,,,LV70
169402,紫色的复仇女孩,暗,常见,,,攻击目标的攻击力-10%，持续16秒,,,LV70
169405,发光的复仇女孩,光,常见,,,攻击目标的减益回避率-2%，持续16秒,,,LV70
169407,绿色的复仇女孩,木,常见,,,攻击目标的弱点防御-10%，持续16秒,,,LV70
169410,红色的复仇女孩,火,常见,,,攻击目标的防御力2%，持续16秒,,,LV70
169380,蓝色的复仇女孩,水,常见,,,攻击目标的Skill量表充能速度10%，持续16秒,,,LV70
169383,暗黑的看守者,暗,常见,,,赋予自身反射(反射5%受到的伤害)，持续20秒,,,LV70
169386,光明的看守者,光,常见,,1名光属性盟友的所有Skill伤害防御力+5%，持续12秒,,,,LV70
169388,绿色的看守者,木,常见,,赋予1名木属性盟友吸血(攻击时回复100HP)，持续16秒,,,,LV70
169390,红色的看守者,火,常见,,赋予1名火属性盟友屏障+800(在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用)，持续16秒,,,,LV70
169394,蓝色的看守者,水,常见,,1名水属性盟友防御力+15%，持续16秒,,,,LV70
169397,吵杂的毛球毛球,,常见,赋予自身屏障+800(在HP受影响前，吸收所有敌方攻击伤害， 无法与减益屏障同时启用)，持续10秒,,,,,LV70
169403,热血的封箱者,光,常见,1名光属性盟友敏捷度+11%，持续10秒,,,,,LV70
169408,惊人的宝箱怪,,常见,,攻击目标的防御力-2%，持续12秒,,,,LV70
169411,球鞋斗土,火,常见,,,,火属性盟友的Tap Skill伤害+3%,,LV70
169413,疯狂兔兔阿姆斯,光,常见,,赋予自身激怒(最多累积100%所受伤害，并一次回击)，持续1阶段,,,,LV70
169379,噩梦曼提,木,常见,对攻击目标造成150加成伤害,,,,,LV70
169381,DJ赫兹,水,常见,随机1名盟友的skill量表充能速度+30%，持续10秒,,,,,LV70
169384,嗡嗡的噪音,光,常见,,对攻击目标造成失明（减少攻击命中率10%），持续12秒,,,,LV70
169387,束领结的侍者,木,常见,赋予1名自身以外的木属性盟友吸血（攻击时回复100HP），持续10秒,,,,,LV70
169392,毒药安瓿,木,常见,,1名盟友（低HP）弱点攻击防御力+5%，持续16秒,,,,LV70
169395,绿头盔巴祖卡,火,常见,,,对攻击目标造成流血（每2秒造成20持续伤害），持续18秒,,,LV70
169398,沙漠的巴西利斯克,木,常见,,,攻击时回复200HP,,,LV70
169401,泛用型锁链杀手,暗,常见,自身所有skill伤害防御力+5%，持续8秒,,,,,LV70
