content_id,avatar_file,avatar_url,name,rarity,stat_pair,element_gate,role_gate,mode_gate,collab,special,plain_hp_init,plain_atk_init,plain_def_init,plain_agl_init,plain_crt_init,plain_hp_max,plain_atk_max,plain_def_max,plain_agl_max,plain_crt_max,flash_hp_init,flash_atk_init,flash_def_init,flash_agl_init,flash_crt_init,flash_hp_max,flash_atk_max,flash_def_max,flash_agl_max,flash_crt_max
171909,avatars/171909.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_614/h_1024/202/236746/2022/10/9/703050.png,格斗游戏宅,5星,攻敏,光,攻击,20人巨型boss,否,对20人巨型boss限定，装备时增加最大攻击力（普：10%/；闪：12%/）,,700,,390,,,,,,,,753,,424,,,,,,
169030,avatars/169030.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/545237.png,你准备好了吗？,5星,攻暴,火,通用,5人巨型boss,否,在5人巨型boss装备时，增加最大攻击力（普：9%/；闪：11%/）,,695,,,340,,,,,,,748,,,364,,,,,
169041,avatars/169041.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/5551.png,女王的记忆,5星,血防,通用,通用,通用,否,增加命中率（普15%：/；闪：17%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
169040,avatars/169040.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/735205.png,头脑战,5星,血暴,通用,通用,pvp,否,在pvp中增加睡眠回避率（普：20%/；闪：21.5%/）,1200,,,,410,,,,,,1296,,,,434,,,,,
169039,avatars/169039.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/521568.png,两人的誓言,5星,攻防,通用,通用,pve,否,在pve中被攻击时，回复HP（普：300/；闪：325/）,,700,650,,,,,,,,,753,704,,,,,,,
169038,avatars/169038.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/54410.png,你有集点卡吗？,5星,血防,通用,干扰,pvp,否,在pvp中增加晕眩命中率（普：20%/；闪：21%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
169037,avatars/169037.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/2871.png,太阳之影,5星,血敏,通用,治疗,pve,否,在pve中skill量表充能速度增加（普：7%/；闪：8%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
169036,avatars/169036.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/256616.png,善恶交锋,5星,攻敏,通用,通用,通用,否,有概率无视敌人的挑衅并攻击（普：50%/；闪：51%/）,,700,,390,,,,,,,,753,,424,,,,,,
169035,avatars/169035.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/574481.png,无尽的战斗,5星,攻暴,通用,攻击,pvp,否,在pvp中普通skill增加无视防御伤害（普：250/；闪：300/）,,695,,,340,,,,,,,748,,,364,,,,,
169034,avatars/169034.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_614/h_1024/202/57/2022/9/12/964954.png,蔚蓝的少女,5星,血攻,通用,辅助,pvp,否,在pvp中增加SS伤害（普：10%/；闪：11%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
169032,avatars/169032.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/974022.png,超活力斗士,5星,血敏,水,通用,20人巨型boss,是,对20人巨型boss时，装备时增加减益回避率（普：13%/；闪：15%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
169031,avatars/169031.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/9/13/434213.png,只要跟着朋友，我愿意前往任何地方,5星,血攻,通用,治疗,pvp,是,在pvp中增加晕眩回避率（普：22%/；闪：23.5%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
167083,avatars/167083.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/8/14/580969.png,希特莉的诱惑,5星,血防,通用,通用,通用,否,增加最大HP（普：1300/；闪：1450/）,1215,,675,,,,,,,,1311,,729,,,,,,,
167077,avatars/167077.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/8/14/407991.png,最后一步,5星,攻防,通用,防御,pvp,否,在pvp中，增加弱化减益回避率，防御型限定（普：15%/；闪：16%/）,,700,650,,,,,,,,,753,704,,,,,,,
167076,avatars/167076.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/8/14/990429.png,异能人的晒痕,5星,血攻,光,通用,rb,否,装备时，在副本中增加skill量表充能速度（光属性）（普：10%/；闪：11%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
165121,avatars/165121.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/7/17/880996.png,享受夏天的方法,5星,血防,通用,通用,wb,否,减少世界王带来的减益持续时间（普：15%/；闪：17%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
165111,avatars/165111.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/7/17/130901.png,献给你的绚烂微笑,5星,攻敏,通用,通用,pvp,否,在pvp中减少流血伤害（普：210/；闪：230/）,,715,,405,,,,,,,,768,,439,,,,,,
165107,avatars/165107.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/7/17/496156.png,夏日海滩的吸血鬼女王,5星,攻防,通用,通用,rb,否,在副本中，减益持续时间缩减（普：15%/；闪：17%/）,,715,665,,,,,,,,,768,719,,,,,,,
162566,avatars/162566.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/6/20/223830.png,跟随都桂花的不速之客,5星,血敏,水,通用,rb,否,装备时，在副本中增加skill量表充能速度，水属性专用（普：10%/；闪：11%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
160177,avatars/160177.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/5/22/297362.png,花之乐园,5星,血攻,通用,通用,wb,否,对世界王时，装备时增加减益回避率（普：13%/；闪：15%/）,1115,625,,,,,,,,,1211,673,,,,,,,,
160179,avatars/160179.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/57/2022/5/22/233770.png,复活的赛特,5星,攻防,通用,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,,700,650,,,,,,,,,753,704,,,,,,,
157030,avatars/157030.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/202/57/2022/4/25/227183.png,安息吧,5星,血敏,通用,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：16%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
155248,avatars/155248.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/202/122841/2022/3/27/723743.png,朱诺的礼物,5星,血防,通用,通用,wb,否,世界王身上受到的减益持续时间增加（普：12%/；闪：13%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
153061,avatars/153061.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/202/15803/2022/3/1/460932.png,报答之吻,5星,攻暴,通用,通用,rb,否,在副本时增加SS伤害（普：8%/；闪：10%）,,710,,,355,,2095,,,1580,,763,,,379,,2172,,,1615
151210,avatars/151210.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/202/57/2022/1/24/808710.png,血腥茶会,5星,血敏,通用,通用,wb,否,对抗世界王时的skill量表增加（普：7%/；闪：8%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
97167,avatars/97167.png,https://cdnimg-v2.gamekee.com/images/www/1644387630396_45450971.png,致命甜点,5星,血攻,通用,通用,pvp,否,在pvp中增加持续效果命中率（普：20%/；闪：21%/）,1115,625,,,,2682,1972,,,,1211,673,,,,2821,2041,,,
96761,avatars/96761.png,https://cdnimg-v2.gamekee.com/images/www/1643178549732_36786400.png,帝瓦兹的礼物,5星,血防,通用,通用,通用,否,增加分解伤害（普：280/；闪：300/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
96762,avatars/96762.png,https://cdnimg-v2.gamekee.com/images/www/1643178699857_15307155.png,虎猎狐,5星,血暴,通用,通用,通用,否,由击败敌人来回复HP（普：1000/；闪：1120/）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
96278,avatars/96278.png,https://cdnimg-v2.gamekee.com/images/dc/2022/1641979720_ab64f6697276a7329f83de89765cd943.png,米丽安的回忆,5星,血暴,通用,通用,通用,否,增加时间系减益命中率（普：15%/；闪：16%/）,1200,,,390,,2827,,,1653,,1296,,,424,,2966,,,1702,
96279,avatars/96279.png,https://bang-phinf.pstatic.net/a/342fag/e_adaUd018bngpss5vyk4wfg2_842qjk.png?type=w660,我们独自的世界,5星,血攻,水,通用,rb,否,水属性child专属：在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1200,700,,,,2827,2102,,,,1296,753,,,,2966,2179,,,
94890,avatars/94890.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1640152276_9d74f7488087fd80918dc136daca5ade.png,放松,5星,血防,通用,通用,通用,否,受到攻击时，skill量表增加（普：2%/；闪：3%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
93899,avatars/93899.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1638943510_36d34bf62c43ce14aef8911cc52c663e.png,平和的咖啡厅,5星,攻敏,暗,通用,wb,否,暗属性child专用：对抗世界王时，弱点skill伤害增加（普：15%/；闪：17%/）,,715,,420,,,2102,,1674,,,768,,444,,,2179,,1709,
92654,avatars/92654.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1637734102_b201dc81ad911f07126944338f65ec9c.png,求求你醒来吧,5星,血防,火,通用,rb,否,火属性child专属：在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
91785,avatars/91785.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1636522267_d3ead844e9de74f4b0b2012224d1b5a3.png,小魅魔的点心时间,5星,攻防,通用,通用,通用,否,装备时，减益持续时间减少（普：10%/；闪：12%/）,,715,665,,,,2102,2030,,,,768,719,,,,2179,2108,,
90647,avatars/90647.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1635314451_7c2368d3adeef0d4e2889fe5e4d1e03c.png,普洛瑟罗的万圣节服装,5星,血防,通用,通用,通用,否,装备时，全部能力增加（普：250/；闪：350/）,1075,,575,,,2624,,1899,,,1175,,629,,,2769,,1977,,
90648,avatars/90648.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1635314450_7c9a571e3a7cf70e21dfbe6950123588.png,失去的一切,5星,攻敏,光,通用,rb,否,光属性child专属：在副本装备时，增加最大攻击力（普：9%/；闪：11%/）,,715,,405,,,2102,,1653,,,768,,439,,,2179,,1702,
87908,avatars/87908.png,https://cdnimg-v2.gamekee.com/images/www/1631086546842_46200617.png,长候之终,5星,血攻,木,通用,rb,否,木属性child专用：在副本装备时，增加最大攻击力（普：10%/；闪：12%/）,1215,715,,,,2827,2102,,,,1311,768,,,,2966,2179,,,
85355,avatars/85355.png,https://cdnimg-v2.gamekee.com/images/www/1628674063553_76508929.png,欢迎,5星,攻暴,水,通用,rb,否,水属性child专用：在副本装备时，增加最大攻击力（普：10%/；闪：12%/）,,715,,,425,,2102,,,1721,,768,,,449,,2179,,,1716
83947,avatars/83947.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1627456175_88c1aff017ead7642c4e602fd9d2a869.png,我们一起去海滩玩吧,5星,血敏,通用,辅助,pvp,否,辅助型专用：在PVP中装备时，减益回避率增加（普：12%/；闪：13%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
83948,avatars/83948.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1627456174_cb7e00902c3dab27a062d3cdb5a6613b.png,华丽的夏日,5星,血防,通用,防御,pvp,否,防御型专用：在PVP中装备时，减益持续时间缩短（普：-12%/；闪：-13%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
83949,avatars/83949.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1627456173_a077076210907f06c176507868e05933.png,穿上泳衣,5星,血攻,通用,攻击,pvp,否,攻击型专用：在PVP中使用SS时，有概率移除增益（普：12%/；闪：13%/）,1215,715,,,,2827,2102,,,,1311,768,,,,2966,2179,,,
83950,avatars/83950.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1627456173_8f7a7d31f4d60bf752ee763b0be750d2.png,家中的夏日约会,5星,血暴,通用,干扰,pvp,否,干扰型专用：在PVP中，增加减益命中率（普：12%/；闪：13%/）,1215,,,,425,2827,,,,1682,1311,,,,449,2966,,,,1716
82896,avatars/82896.png,https://cdnimg-v2.gamekee.com/images/www/1626256499602_92039654.png,前往闪耀浪涛,5星,血敏,暗,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1205,,,405,,2813,,,1653,,1301,,,429,,2952,,,1687,
81541,avatars/81541.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1624948273_2aa796d392eed15b8db25e51ee553a05.png,鲁萨尔卡得不到回报的爱情,5星,攻暴,水,通用,wb,否,水属性child专用：对世界王限定，装备时增加最大攻击力（普：10%/；闪：12%/）,,710,,,415,,2095,,,1667,,763,,,439,,2172,,,1702
77373,avatars/77373.png,https://cdnimg-v2.gamekee.com/images/www/1622619650310_52503296.png,祈祷少女,5星,攻暴,暗,通用,wb,否,暗属性child专用，对抗世界王时，增加skill暴击伤害（普：15%/；闪：17%/）,,710,,,415,,2095,,,1667,,763,,,439,,2172,,,1702
78347,avatars/78347.png,https://cdnimg-v2.gamekee.com/images/www/1623833992480_52889769.png,你好，我的爱人,5星,攻敏,光,通用,rb,否,光属性child专用，在副本装备时，增加暴击skill伤害（普：11%/；闪：13%/）,,710,,420,,,2095,,1674,,,763,,444,,,2172,,1709,
75613,avatars/75613.png,https://cdnimg-v2.gamekee.com/images/www/1620286336992_94697655.png,捣蛋鬼莫娜,5星,血防,通用,干扰,wb,否,干扰型child专用，装备后对抗世界王时，增加减益中率（普：15%/；闪：16%/）,1205,,665,,,2813,,2030,,,1301,,719,,,2952,,2108,,
74430,avatars/74430.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1618987070_35a1d86ffff5f927ac140e8dfa218de7.png,深海之汇,5星,攻暴,暗,通用,rb,否,暗属性child专用：在副本装备时，增加TS伤害（普：5%/；闪：7%/）,,704,,,415,,2088,,,1667,,758,,,439,,2164,,,1702
72730,avatars/72730.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1616565142_4f917937749fe7a464d89fb3c91a29ab.png,格外小心,5星,攻暴,木,通用,wb,否,木属性专用，装备时，对抗世界王的暴击skill伤害增加（普：15%/；闪：17%/）,,700,,,410,,2080,,,1660,,753,,,434,,2157,,,1695
71698,avatars/71698.png,https://cdnimg-v2.gamekee.com/images/www/1615355550148_49042563.png,夏娃之怒,5星,血攻,水,通用,rb,否,水属性child专用：在副本装备时，增加TS伤害（普：8%/；闪：10%/）,1195,695,,,,2798,2073,,,,1291,748,,,,2937,2150,,,
71699,avatars/71699.png,https://cdnimg-v2.gamekee.com/images/www/1615357772885_8695565.png,里欧的礼物,5星,血暴,通用,通用,pvp,否,装备时，在pvp中增加最终敏捷度（普：550/；闪：600/）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
70403,avatars/70403.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1614145759_1_djcUd018bng116frbd7xiz6q_d7l52l.png,王子抱,5星,血敏,通用,通用,pvp,否,装备时，在PVP中增加skill量表充能量（普：3%/；闪：4%/）,1195,,,395,,2798,,,1638,,1291,,,419,,2937,,,1673,
69339,avatars/69339.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1612852961_4_3eiUd018bng14fbdd9j1e76o_2sns9p.png,在姐姐怀里,5星,攻敏,木,通用,rb,否,木属性child专用：在副本装备时，追加弱点skill最终伤害（普：5%/XX，闪：7%/XX）,,690,,395,,,2066,,1638,,,743,,419,,,2143,,1673,
69340,avatars/69340.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1612852962_6_5eiUd018bng167cq5ezfkpnf_lhxuar.png,意外的情人节,5星,血防,通用,通用,pvp,否,装备时，在PVP中发动攻击时回复HP（普：300/XX，闪：325/XX）,1065,,565,,,2610,,1885,,,1161,,613,,,2749,,1954,,
68058,avatars/68058.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1611727036_a_53fUd018bngw667tnxs158e_gg5tpi.png,正义的基准,5星,血攻,火,通用,wb,否,火属性child专用：装备时，对抗世界王时的弱点skill最终伤害增加（普：15%/%，闪：17%/%）,1195,685,,,,2798,2059,,,,1291,738,,,,2937,2135,,,
66529,avatars/66529.png,https://cdnimg-v2.gamekee.com/images/dc/2021/1610516146_8_55eUd018bng1wupdk6mdz95b_ugog2o.png,真心的歌声,5星,血防,通用,通用,pvp,否,在PVP时，增加时间系减益回避率（普：20%/X%，闪：22%/X%）,1185,,645,,,2784,,2001,,,1281,,699,,,2923,,2079,,
65279,avatars/65279.png,https://cdnimg-v2.gamekee.com/images/www/1609313583410_37116598.png,定装,5星,攻暴,光,通用,wb,否,光属性child专用：装备时，对抗世界王时的暴击skill伤害增加（普：10%/X%，闪：12%/X%）,,680,,,405,,2128,,,1687,,733,,,429,,2128,,,1687
65280,avatars/65280.png,https://cdnimg-v2.gamekee.com/images/dc/2020/1609308511_b_g87Ud018bngffw4ck0hbr4y_ywlyi2.png,甜美的作曲家,5星,攻敏,通用,攻击,pvp,否,攻击型child专用：装备时，在PVP中增加SS的无视防御伤害（普：250/X，闪：300/X）,,620,,355,,,1964,,1580,,,668,,379,,,2034,,1615,
62509,avatars/62509.png,https://cdnimg-v2.gamekee.com/images/www/1606966284957_40285143.png,第二次死亡,5星,血暴,水,通用,rb,否,增加弱点SKILL最终伤害（普：8%/X%，闪：10%/X%）,1175,,,,405,2769,,,,1653,1271,,,,429,2908,,,,1687
61204,avatars/61204.png,https://cdnimg-v2.gamekee.com/images/www/1605685161018_39733170.png,温暖的休息时间,5星,攻敏,水,攻击,wb,否,增加弱点skill最终伤害（普：10%/X；闪：12%/X）,,675,,385,,,2044,,1624,,,728,,409,,,2121,,1658,
60242,avatars/60242.png,https://cdnimg-v2.gamekee.com/images/www/1604540309105_64238236.png,爱恋的开始,5星,血攻,火,攻击,rb,否,在副本中，增加弱点SKILL最终伤害（普：8%/X；闪：10%/X）,1165,670,,,,2755,2037,,,,1261,723,,,,2894,2114,,,
58559,avatars/58559.png,https://cdnimg-v2.gamekee.com/images/www/1603189861718_19668180.png,不好意思...?,5星,血暴,通用,通用,pvp,是,遭受攻击时恢复HP（普：300/X；闪：325/X）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
58549,avatars/58549.png,https://cdnimg-v2.gamekee.com/images/www/1603188941355_58421757.png,慵懒的海边,5星,血防,木,攻击,wb,是,在WB中增加最大攻击力（普：10%/X；闪：12%/22%）,,,,,,,,,,,,,,,,,1912,,,1468
57113,avatars/57113.png,https://cdnimg-v2.gamekee.com/images/www/1603788727159_50060041.png,重振旗鼓,5星,血攻,火,攻击,rb,否,在副本中增加TS伤害（普：5%/10%；闪：7%/12%）,,,,,,,,,,,,,,,,,1912,,,1468
54479,avatars/54479.png,https://cdnimg-v2.gamekee.com/images/www/1603789015021_6161658.png,满月露娜,5星,攻暴,光,攻击,wb,否,增加世界王弱点SKILL最终伤害（普：10%/X；闪：12%/X）,,660,,,395,,,,,,,708,,,419,,,,,
50272,avatars/50272.png,https://cdnimg-v2.gamekee.com/images/www/1603789094127_53039997.png,夏日餐宴,5星,血攻,水,攻击,wb,否,wb中毒伤害增加（普：1550/X；闪：1600/X）,,,,,,,,,,,,,,,,,1912,,,1468
50271,avatars/50271.png,https://cdnimg-v2.gamekee.com/images/dc/1597820694417_81826571.png,夏日假期,5星,血防,火,干扰,pve,否,增加pve流血（普：250/X；闪：300/X）,,,,,,,,,,,,,,,,,1912,,,1468
