content_id,name,rarity,element,role,path,cp_init,hp_init,atk_init,def_init,agl_init,crt_init,cp_max,hp_max,atk_max,def_max,agl_max,crt_max,auto_text,tap_text,tap_ignited,slide_text,slide_ignited,drive_text,drive_ignited,leader_text
162570,急驰的波利亚斯,5星,光,防御型,图鉴资料 / 5星天子：光 / 急驰的波利亚斯,,,,,,,,,,,,,对目标造成93（643）自动攻击伤害,造成324（2206）伤害，赋予3名光属性盟友所有Skill伤害防御力+30（44.5）%（在经过12秒或受到3次攻击后移除）,造成2231伤害，赋予3名光属性盟友所有Skill伤害防御力+44.5%（在经过12秒或受到5次攻击后移除）,造成618（3595）伤害，有56（95）%的机率赋予自身不死（HP不会低于1）与石化之触【有75（97.8）%机率对一名攻击自己的敌人造成石化（10秒内或受到一次攻击前无法行动）】，持续12秒。PvP中，赋予自身挑衅（有90%的机率发动），持续12秒,造成3695伤害，有95%的机率赋予自身不死（HP不会低于1）与石化之触【有97.8%机率对一名攻击自己的敌人造成石化（10秒内或受到一次攻击前无法行动）】，持续14秒。PvP中，赋予自身挑衅（有90%的机率发动），持续14秒,对随机3名敌人造成1561（5495）伤害，赋予全体盟友所有skill伤害防力+40%（在经过24秒或受到5次攻击后移除）,对随机3名敌人造成5825伤害，赋予全体盟友所有skill伤害防力+50%（在经过24秒或受到5次攻击后移除）,光属性盟友Skill伤害防御力+15%（在PvP中，盟友Skill伤害防御力+10%）
160153,回归的沃丹,5星,光,辅助型,图鉴资料 / 5星天子：光 / 回归的沃丹,,,,,,,,,,,,,对目标造成102（690）自动攻击伤害（自动）,造成401（2578）伤害。在副本中，有60（85）%的机率结束2名冷却中盟友的冷却时间,造成2603伤害。在副本中，有90%的机率结束3名冷却中盟友的冷却时间,对随机2名敌人造成749（4057）伤害，赋予3名光属性盟友（最高攻击力）Skill量表充能速度+45（75.4）%及Skill冷却时间-2秒，持续2回合。在副本中，3名光属性盟友（最高攻击力）的Slide Skill最终伤害+75（115.1）%,对随机2名敌人造成4157伤害，赋予3名光属性盟友（最高攻击力）Skill量表充能速度+85.4%及Skill冷却时间-2秒，持续2回合。在副本中，3名光属性盟友（最高攻击力）的Slide Skill最终伤害+130.1%,对随机3名敌人造成1924（6970）伤害，有90%的机率结束3名冷却中盟友的冷却时间。在副本中，有90%的机率充满3名盟友正在充能的Skill量表（自身除外）,对随机3名敌人造成7300伤害，有95%的机率结束3名冷却中盟友的冷却时间。在副本中，有90%的机率充满3名盟友正在充能的Skill量表（自身除外）,赋予光属性盟友Skill量表充能速度+20%（在副本中，光属性盟友Skill冷却时间-1秒）
157043,梦想狗狗拉西,5星,光,攻击型,图鉴资料 / 5星天子：光 / 梦想狗狗拉西,,,,,,,,,,,,,对目标造成114（751）自动攻击伤害（自动）,对1名敌人造成502（3062）伤害（优先：最低HP），有70（92.8）%的机率赋予自身无视反射，持续20秒。PVP中，有55（75）%的机率赋予自身专注（命中率↑与100%暴击率），持续20秒,对2名敌人造成3122伤害（优先：最低HP），有92.8%的机率赋予自身无视反射，持续20秒.PVP中，有85%的机率赋予自身专注（命中率↑与100%暴击率），持续20秒,对2名敌人造成1037（4705）伤害的2连击（优先：最低HP），造成800（1980）魔力伤害（加成伤害，增加暴击和弱点攻击时的伤害）。Pvp中，对增益的敌人造成增益爆发【移除最后施加的增益，并以x 300（701）系数造成基于该效果的伤害】,对3名敌人造成4905伤害的2连击（优先：最低HP），造成2980魔力伤害（加成伤害，增加暴击和弱点攻击时的伤害）。Pvp中，对增益的敌人造成增益爆发（移除最后施加的增益，并以x 801系数造成基于该效果的伤害）,对4名敌人造成2659（8615）伤害（优先：最低HP），对暗属性敌人造成350魔力伤害（加成伤害，增加暴击和弱点攻击时的伤害）,对全体敌人造成9275伤害，对暗属性敌人造成350魔力伤害（加成伤害，增加暴击和弱点攻击时的伤害）,赋予光属性盟友drive Skill最终伤害+15%（在PvP中，光属性盟友的Drive量表充能量+15%）
153058,洛基,5星,光,干扰型,图鉴资料 / 5星天子：光 / 洛基,,,,,,,,,,,,,对目标造成103（696）自动攻击伤害（自动）,对1名敌人（优先：最低HP）造成407（2622）伤害，有70%（95.6%）机率造成禁止回复（特定效果除外），持续12秒,对2名敌人（优先：最低HP）造成2647伤害，有95.6%机率造成禁止回复（特定效果除外），持续14秒,对随机3名敌人造成723（2898）伤害，造成伤害共振（对最多2名目标为最低HP的敌人造成对目标所造成的13%（33%）伤害），持续12秒，及撕裂（500（800）伤害，对有持续伤害减益的目标造成加成伤害），2次,对全体敌人造成2948伤害，造成伤害共振（对最多2名目标为最低HP的敌人造成对目标所造成的33%伤害），持续12秒，及撕裂（980伤害，对有持续伤害减益的目标造成加成伤害），2次,有100%的机率对3名敌人（优先：最低HP）造成禁止回复（特定效果除外），持续18秒，并依目标上的每个减益造成500加成伤害（最多4）,有100%的机率对3名敌人（优先：最低HP）造成禁止回复（特定效果除外），持续18秒，并依目标上的每个减益造成600加成伤害（最多4）,全体敌人的防御力-18%
152938,可爱的布拉达曼特,5星,光,干扰型,图鉴资料 / 5星天子：光 / 可爱的布拉达曼特,,,,,,,,,,,,,对目标造成102（629）自动攻击伤害(自动),对1名敌人造成400（2590）伤害(优先: Skill量表充能中)，Skill量表-30%（-61.1%）,对2名敌人造成2615伤害(优先: Skil呈表充能中)，Skill 量表-66.1%,对2名敌人造成704（4031）伤害(优先:防御型)，Sill量表充能量-35%（-55%），持续12秒，及Skill量表-35%（-55%），在PvP中，敌人的防御力-35%（-55%），持续12秒,对3名敌人造成4131伤害(优先:防御型)，Skill量表充能 量-60%，持续12秒，及Skill量表-60%，在PvP中，敌人 的防御力-60%，持续12秒,对3名敌人(优先:最高防御力)造成2093（7243）伤害，有80%的机率造成睡眠(无法行动且防御力降为0 ;效果会在受到技能攻击时移除(除自动攻击和含有自动攻击的技能))，持续8秒，及感电(650持续伤害，受到攻击时，对1名随机盟友造成20%加成伤害，且有机会降低Skill量表)，持续12秒,对3名敌人(优先:最高防御力)造成7573伤害，有85%的 机率造成睡眠(无法行动且防御力降为0 ;效果会在受到技 能攻击时移除(除自动攻击和含有自动攻击的技能))，持结 8秒，及感电(650持伤害，受到攻击时，对1名随机盟友 造成20%加成伤害，且有机会降低Skill量表)，持续12秒,防御型敌人的Skil量表充能量18%(PvP中追加-10%)
151630,满盈的艾芙,5星,光,治疗型,图鉴资料 / 5星天子：光 / 满盈的艾芙,,,,,,,,,,,,,对目标造成96（662）自动攻击伤害,造成342（2347）伤害，所有光属性盟友的回复量+30（52.1）%，持续20秒,造成2347伤害，所有盟友的回复量+57.1%，持续20秒,回复全体盟友1261（2757）HP。在PVP中，赋予2名光属性盟友无敌（无视所有攻击和减益效果，14秒后或是受到2次攻击后消失）,回复全体盟友2757HP。赋予2名光属性盟友无敌（无视所有攻击和减益效果，14秒后或是受到3次攻击后消失）,为3名盟友回复2253（2883）HP（优先：最低HP）。在PvP中，3名光属性盟友持续回复322（414）HP，持续16秒,为3名盟友回复2883HP（优先：最低HP）。在PvP中，3名盟友（优先：最低HP）持续回复414HP，持续16秒,自身以外的所有盟友获得起死回生（复活，仅限一次，第一个阵亡的盟友，并回复50%HP）。在PvP中：盟友的回复量+15%
93897,忠诚的仙娥,5星,光,防御型,图鉴资料 / 5星天子：光 / 忠诚的仙娥,,,,,,,,,,,,,对目标造成93（643）自动攻击伤害,造成322（2205）伤害，赋予自身在内最多2名最低HP的盟友（如果自身的HP是最低的，将只赋予自身及1名盟友）屏障（在HP受影响前，吸收+1000（1608）所有敌方攻击伤害，无法与减益屏障同时启用），持续10秒,造成2230伤害，赋予自身在内最多3名最低HP的盟友（如果自身的HP是最低的，将只赋予自身及2名盟友）屏障（在HP受影响前，吸收+1908所有敌方攻击伤害，无法与减益屏障同时启用），持续10秒,造成606（3583）伤害，赋予自身挑衅（有90%的机率发动），持续12秒，且根据光属性盟友数量（最多10名），赋予自身在内最多2名最低HP的盟友（如果自身的HP是最低的，将只赋予自身及1名盟友）防御力增加11（17.2）%，持续12秒,造成3683伤害，赋予自身挑衅（有90%的机率发动），持续12秒，且根据光属性盟友数量（最多10名），赋予自身在内最多3名最低HP的盟友（如果自身的HP是最低的，将只赋予自身及2名盟友）防御力增加20.2%，持续12秒,对随机2名敌人造成1534（5457）伤害，赋予自身挑衅（有98%的机率发动），持16秒，5名光属性盟友防御力+50%，持续20秒,对随机2名敌人造成5787伤害，赋予自身挑衅（有98%的机率发动），持16秒，随机5名属性盟友防御力+50%，持续20秒,光属性队友的防御力+20%
91784,开战娜塔莉丝,5星,光,干扰型,图鉴资料 / 5星天子：光 / 开战娜塔莉丝,,,,,,,,,,,,,对目标造成103（694）自动攻击伤害,对随机2名敌人造成405（2609）伤害，有75（80.5）%的机率移除1个增益在PvP中，对随机2名敌人造成增益吸取【每吸取目标1个增益，盟友drive量表增加+50（63）】,对随机2名敌人（优先：最高攻击力）造成2634伤害，有80.5%的机率移除1个增益。在PvP中，对2名敌人（最高攻击力）造成增益吸取（每吸取目标1个增益，盟友drive量表增加+83）,对2名敌人（优先：最低HP）造成721（4066）伤害，造成保护增益爆发【移除最后施加的保护增益，并以x300（701）的系数造成基于该效果的伤害】，并有60（80.7）%的机率造成重击（晕眩且Skill伤害防御力-15%），持续5秒。在PvP中，对2名敌人（最低HP）造成乱舞之刃效果【防御力下降20%，且每2秒造成250（706）持续伤害】，持续14秒,对3名敌人（优先：最低HP）造成4166伤害，造成保护增益爆发（移除最后施加的保护增益，并以x701的系数造成基于该效果的伤害），并有80.7%的机率造成重击（晕眩且Skill伤害防御力-15%），持续6秒。 在PvP中，对3名敌人（最低HP）造成乱舞之刃效果(防御力下降20%，且每2秒造成706持续伤害)，持续14秒,对3名敌人（优先：最低HP）造成2133（7351）伤害，对敌人（优先：有增益）造成增益爆发（移除最后施加的增益，并以x650系数造成基于该效果的伤害），并有80%的机率造成诱惑（目标增益效果无效，除特定移除技能外无法移除），持续16秒,对3名敌人（优先：最低HP）造成7681伤害，对敌人（优先：有增益）造成增益爆发（移除最后施加的增益，并以x650系数造成基于该效果的伤害），并有80%的机率造成诱惑（目标增益效果无效，除特定移除技能外无法移除），持续16秒,在PVP忠，讲敌方队长增益无效化
90645,逆转提泰妮亚,5星,光,攻击型,图鉴资料 / 5星天子：光 / 逆转提泰妮亚,,,,,,,,,,,,,对目标造成114（753）自动攻击伤害,对1名敌人（优先：暗属性）造成508（3081）伤害，对暗属性敌人造成430（935）加成伤害。在副本中，对敌人造成1200（2098）无视防御伤害,对1名敌人（优先：暗属性）造成3141伤害，对暗属性敌人造成1235加成伤害。在副本中，对敌人造成2098无视防御伤害,对2名敌人（优先∶辅助型）造成1065（4746）伤害的2连击，对辅助型敌人造成480（1296）无视防御伤害，及对暗属性敌人造成650（1106）加成伤害,对3名敌人（优先∶辅助型）造成4946伤害的2连击，对辅助型敌人造成1296无视防御伤害，及对暗属性敌人造成1256加成伤害,对随机1名敌人造成3674/20639(290%）伤害，赋予自身+80% TS最终伤害，持续20秒,对随机1名敌人造成22062(310%)伤害，赋予自身+90% TS最终伤害，持续20秒,光属性盟友的skill最终伤害+18%（在副本中：光属性盟友的Skill最终伤害+20%）
82897,主人朱诺,5星,光,干扰型,图鉴资料 / 5星天子：光 / 主人朱诺,,,,,,,,,,,,,对目标造成102（692）自动攻击伤害,对1名敌人(优先∶受感电)造成399（2589）伤害的2连击，Skill量表充能量-20（42.1）%，持续10秒,对1名敌人(优先∶受感电)造成2614伤害的2连击，Skill量表充能量-47.1%，持续12秒,对2名敌人(优先:有增益)造成691（4015）伤害和600（1056）无视防御伤害，造成感电160（540）持续伤害，受到攻击时对1名随机盟友造成20%加成伤害，且有机会降低Skill量表，持续12秒,对3名敌人(优先:有增益)造成4115伤害和1056无视防御伤害，造成感电690持续伤害，受到攻击时对1名随机盟友造成20%加成伤害，且有机会降低Skill量表，持续12秒,对3名敌人造成2067（7206）伤害（优先：暗属性)，Skill量表-45%和Skill量表充能量-40%，持续16秒,对3名敌人造成7536伤害（优先：暗属性)，Skill量表-45%和Skill量表充能量-45%，持续16秒,暗属性敌人的skill量表充能速度-18%
78339,伴侣塞美勒,5星,光,辅助型,图鉴资料 / 5星天子：光 / 伴侣塞美勒,,,,,,,,,,,,,对目标造成101（687）自动攻击伤害,造成391（2547）伤害，SkiI量表+18（40.8）%，并有70（90.1）%的机率无效2名光属性盟友(优先:最高攻击力)的石化，持续8秒,造成2572伤害，SkiI量表+45.8%，并有90.1%的机率无效3名光属性盟友(优先:最高攻击力)的石化，持续8秒,对随机2名敌人造成719（4004）伤害，有70（90.1）%的机率赋予支援(弱点Skill最终伤害+15%，依目前增益数量的比例增加攻击力)，即有70（90.1）%的机率赋予2名光属性盟友(优先:最高攻击力)时间扭曲(移除目标全部的时间系减益，Skill量表充能速度+40%)，持续16秒。在副本中，2名充能Skill中盟友Skill量表+35（66.1）%,对随机2名敌人造成4104伤害，有95.1%的机率赋予支援(弱点Skill最终伤害+15%，依目前增益数量的比例增加攻击力)，即有95.1%的机率赋予3名光属性盟友(优先:最高攻击力)时间扭曲(移除目标全部的时间系减益，Skill量表充能速度+40%)，持续16秒。在副本中，3名充能Skill中盟友Skill量表+66.1%,对随机3名敌人造成1858（6827）伤害，5名光属性盟友Drive量表+150及Skill冷却时间-2秒，持续20秒,对随机3名敌人造成7157伤害，5名光属性盟友Drive量表+150及Skill冷却时间-2秒，持续2回合,光属性盟友的Skill量表充能速度+15%(副本中:追加Skill量表充能速度+20%)
77368,驱魔师黛波拉,5星,光,攻击型,图鉴资料 / 5星天子：光 / 驱魔师黛波拉,,,,,,,,,,,,,对目标造成113（749）自动攻击伤害,造成497（3047）伤害，65（85.1）%的机率赋予自身支援(弱点SkiI伤害+15%，依目前增益数量的比例增加攻击力），持续15秒,对随机2名敌人造成3107伤害，90.1%的机率赋予自身支援(弱点SkiI伤害+15%，依目前增益数量的比例增加攻击力），持续2回合,对2名敌人（最低HP）造成1008（4663）伤害，和1300（2405）无视防御伤害。对象为世界王时，造成光芒【根据光属性盟友数量造成6000（12047）加成伤害，最多10名】,对3名敌人（最低HP）造成4863伤害，和2405无视防御伤害。对象为世界王时，造成光芒【根据光属性盟友数量造成21047加成伤害，最多10名】,对全体敌人造成2598（8498）伤害,对全体敌人造成9158伤害，对暗属性敌人造成700加成伤害,盟友（攻击型）的SS冷却时间-1秒
75600,决意的劳拉,5星,光,攻击型,图鉴资料 / 5星天子：光 / 决意的劳拉,,,,,,,,,,,,,对目标造成114（751）自动攻击伤害（自动）,造成502（3062）伤害，对暗属性目标造成600（1174）无视防御伤害。对象为世界王时，赋予呐喊，持续16秒。（攻击力+15%（35.1%），最多叠加3次）,对随机2名敌人造成3122伤害，对暗属性目标造成1174无视防御伤害。对象为世界王时，赋予呐喊，持续2回合。（攻击力+40.1%，最多叠加3次）,对随机3名敌人造成669（4532）（145%）（192.2%）伤害，对暗属性敌人造成400（1803）无视防御伤害，并造成防御力增益爆发（移除最新的防御力增益，并以x300（701）的系数造成基于该种类的伤害）,对随机3名敌人造成4720（200.2%）伤害，对暗属性敌人造成1903无视防御伤害，并造成防御力增益爆发（移除最新的防御力增益，并以x801的系数造成基于该种类的伤害）,对全体敌人造成2657（8602）伤害,对全体敌人造成9262伤害，对暗属性敌人造成700无视防御伤害,光属性盟友的攻击力+18%（若对象为世界王，则全体盟友攻击力+20%）
