content_id,name,rarity,stat_pair,element_gate,role_gate,mode_gate,collab,special,plain_hp_init,plain_atk_init,plain_def_init,plain_agl_init,plain_crt_init,plain_hp_max,plain_atk_max,plain_def_max,plain_agl_max,plain_crt_max,flash_hp_init,flash_atk_init,flash_def_init,flash_agl_init,flash_crt_init,flash_hp_max,flash_atk_max,flash_def_max,flash_agl_max,flash_crt_max
580154,贵公子的新年,5星,攻敏,暗,攻击,5人巨型boss,否,在5人巨型boss装备时，增加最大攻击力（普：9%/；闪：11%/）,,700,,390,,,,,,,,753,,424,,,,,,
578000,多事的跨年晚会,5星,血防,通用,通用,通用,否,装备时，增加回复量9（10）%和持续回复量9（10）%,1200,,660,,,,,,,,1296,,714,,,,,,,
577999,妲比的特别派对时间,5星,攻暴,通用,攻击,pve,否,装备时，在pve中增加暴击率4（5）%和暴击伤害9（10）%,,700,,,410,,,,,,,753,,,434,,,,,
577997,Shall we dance？,5星,血防,通用,干扰,pvp,否,装备时，在pvp中增加弱化减益命中率15（16）%和持续伤害100（110）,1200,,660,,,,,,,,1296,,714,,,,,,,
577995,最美打扮,5星,血攻,木,通用,5人巨型boss,否,装备时，在5人巨型boss期间增加暴击skill伤害15（17）%并在受到攻击时恢复190（210）,1200,700,,,,,,,,,1296,753,,,,,,,,
577994,与你的夏日,5星,血攻,通用,攻击,太空漫步,否,装备时，在太空漫步中增加攻击力（普：10%/；闪：12%/）,1200,700,,,,,,,,,,,,,,,,,,
171917,纯粹的恶意,5星,攻敏,通用,攻击,pvp,否,在pvp中增加命中率（普：20%/；闪：21%/）,,700,,390,,,,,,,,753,,424,,,,,,
171909,格斗游戏宅,5星,攻敏,光,攻击,20人巨型boss,否,对20人巨型boss限定，装备时增加最大攻击力（普：10%/；闪：12%/）,,700,,390,,,,,,,,753,,424,,,,,,
169030,你准备好了吗？,5星,攻暴,火,通用,5人巨型boss,否,在5人巨型boss装备时，增加最大攻击力（普：9%/；闪：11%/）,,695,,,340,,,,,,,748,,,364,,,,,
169041,女王的记忆,5星,血防,通用,通用,通用,否,增加命中率（普15%：/；闪：17%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
169040,头脑战,5星,血暴,通用,通用,pvp,否,在pvp中增加睡眠回避率（普：20%/；闪：21.5%/）,1200,,,,410,,,,,,1296,,,,434,,,,,
169039,两人的誓言,5星,攻防,通用,通用,pve,否,在pve中被攻击时，回复HP（普：300/；闪：325/）,,700,650,,,,,,,,,753,704,,,,,,,
169038,你有集点卡吗？,5星,血防,通用,干扰,pvp,否,在pvp中增加晕眩命中率（普：20%/；闪：21%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
169037,太阳之影,5星,血敏,通用,治疗,pve,否,在pve中skill量表充能速度增加（普：7%/；闪：8%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
169036,善恶交锋,5星,攻敏,通用,通用,通用,否,有概率无视敌人的挑衅并攻击（普：50%/；闪：51%/）,,700,,390,,,,,,,,753,,424,,,,,,
169035,无尽的战斗,5星,攻暴,通用,攻击,pvp,否,在pvp中普通skill增加无视防御伤害（普：250/；闪：300/）,,695,,,340,,,,,,,748,,,364,,,,,
169034,蔚蓝的少女,5星,血攻,通用,辅助,pvp,否,在pvp中增加SS伤害（普：10%/；闪：11%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
169032,超活力斗士,5星,血敏,水,通用,20人巨型boss,是,对20人巨型boss时，装备时增加减益回避率（普：13%/；闪：15%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
169031,只要跟着朋友，我愿意前往任何地方,5星,血攻,通用,治疗,pvp,是,在pvp中增加晕眩回避率（普：22%/；闪：23.5%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
167083,希特莉的诱惑,5星,血防,通用,通用,通用,否,增加最大HP（普：1300/；闪：1450/）,1215,,675,,,,,,,,1311,,729,,,,,,,
167077,最后一步,5星,攻防,通用,防御,pvp,否,在pvp中，增加弱化减益回避率，防御型限定（普：15%/；闪：16%/）,,700,650,,,,,,,,,753,704,,,,,,,
167076,异能人的晒痕,5星,血攻,光,通用,rb,否,装备时，在副本中增加skill量表充能速度（光属性）（普：10%/；闪：11%/）,1100,610,,,,,,,,,1196,658,,,,,,,,
165121,享受夏天的方法,5星,血防,通用,通用,wb,否,减少世界王带来的减益持续时间（普：15%/；闪：17%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
165111,献给你的绚烂微笑,5星,攻敏,通用,通用,pvp,否,在pvp中减少流血伤害（普：210/；闪：230/）,,715,,405,,,,,,,,768,,439,,,,,,
165107,夏日海滩的吸血鬼女王,5星,攻防,通用,通用,rb,否,在副本中，减益持续时间缩减（普：15%/；闪：17%/）,,715,665,,,,,,,,,768,719,,,,,,,
162566,跟随都桂花的不速之客,5星,血敏,水,通用,rb,否,装备时，在副本中增加skill量表充能速度，水属性专用（普：10%/；闪：11%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
160177,花之乐园,5星,血攻,通用,通用,wb,否,对世界王时，装备时增加减益回避率（普：13%/；闪：15%/）,1115,625,,,,,,,,,1211,673,,,,,,,,
160179,复活的赛特,5星,攻防,通用,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,,700,650,,,,,,,,,753,704,,,,,,,
157030,安息吧,5星,血敏,通用,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：16%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
155248,朱诺的礼物,5星,血防,通用,通用,wb,否,世界王身上受到的减益持续时间增加（普：12%/；闪：13%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
153061,报答之吻,5星,攻暴,通用,通用,rb,否,在副本时增加SS伤害（普：8%/；闪：10%）,,710,,,355,,2095,,,1580,,763,,,379,,2172,,,1615
151210,血腥茶会,5星,血敏,通用,通用,wb,否,对抗世界王时的skill量表增加（普：7%/；闪：8%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
97167,致命甜点,5星,血攻,通用,通用,pvp,否,在pvp中增加持续效果命中率（普：20%/；闪：21%/）,1115,625,,,,2682,1972,,,,1211,673,,,,2821,2041,,,
96761,帝瓦兹的礼物,5星,血防,通用,通用,通用,否,增加分解伤害（普：280/；闪：300/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
96762,虎猎狐,5星,血暴,通用,通用,通用,否,由击败敌人来回复HP（普：1000/；闪：1120/）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
96278,米丽安的回忆,5星,血暴,通用,通用,通用,否,增加时间系减益命中率（普：15%/；闪：16%/）,1200,,,390,,2827,,,1653,,1296,,,424,,2966,,,1702,
96279,我们独自的世界,5星,血攻,水,通用,rb,否,水属性child专属：在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1200,700,,,,2827,2102,,,,1296,753,,,,2966,2179,,,
94890,放松,5星,血防,通用,通用,通用,否,受到攻击时，skill量表增加（普：2%/；闪：3%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
93899,平和的咖啡厅,5星,攻敏,暗,通用,wb,否,暗属性child专用：对抗世界王时，弱点skill伤害增加（普：15%/；闪：17%/）,,715,,420,,,2102,,1674,,,768,,444,,,2179,,1709,
92654,求求你醒来吧,5星,血防,火,通用,rb,否,火属性child专属：在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
91785,小魅魔的点心时间,5星,攻防,通用,通用,通用,否,装备时，减益持续时间减少（普：10%/；闪：12%/）,,715,665,,,,2102,2030,,,,768,719,,,,2179,2108,,
90647,普洛瑟罗的万圣节服装,5星,血防,通用,通用,通用,否,装备时，全部能力增加（普：250/；闪：350/）,1075,,575,,,2624,,1899,,,1175,,629,,,2769,,1977,,
90648,失去的一切,5星,攻敏,光,通用,rb,否,光属性child专属：在副本装备时，增加最大攻击力（普：9%/；闪：11%/）,,715,,405,,,2102,,1653,,,768,,439,,,2179,,1702,
87908,长候之终,5星,血攻,木,通用,rb,否,木属性child专用：在副本装备时，增加最大攻击力（普：10%/；闪：12%/）,1215,715,,,,2827,2102,,,,1311,768,,,,2966,2179,,,
85355,欢迎,5星,攻暴,水,通用,rb,否,水属性child专用：在副本装备时，增加最大攻击力（普：10%/；闪：12%/）,,715,,,425,,2102,,,1721,,768,,,449,,2179,,,1716
83947,我们一起去海滩玩吧,5星,血敏,通用,辅助,pvp,否,辅助型专用：在PVP中装备时，减益回避率增加（普：12%/；闪：13%/）,1215,,,405,,2827,,,1653,,1311,,,439,,2966,,,1702,
83948,华丽的夏日,5星,血防,通用,防御,pvp,否,防御型专用：在PVP中装备时，减益持续时间缩短（普：-12%/；闪：-13%/）,1215,,675,,,2827,,2044,,,1311,,729,,,2966,,2122,,
83949,穿上泳衣,5星,血攻,通用,攻击,pvp,否,攻击型专用：在PVP中使用SS时，有概率移除增益（普：12%/；闪：13%/）,1215,715,,,,2827,2102,,,,1311,768,,,,2966,2179,,,
83950,家中的夏日约会,5星,血暴,通用,干扰,pvp,否,干扰型专用：在PVP中，增加减益命中率（普：12%/；闪：13%/）,1215,,,,425,2827,,,,1682,1311,,,,449,2966,,,,1716
82896,前往闪耀浪涛,5星,血敏,暗,通用,rb,否,在副本装备时，增加减益效果回避率（普：13%/；闪：15%/）,1205,,,405,,2813,,,1653,,1301,,,429,,2952,,,1687,
81541,鲁萨尔卡得不到回报的爱情,5星,攻暴,水,通用,wb,否,水属性child专用：对世界王限定，装备时增加最大攻击力（普：10%/；闪：12%/）,,710,,,415,,2095,,,1667,,763,,,439,,2172,,,1702
77373,祈祷少女,5星,攻暴,暗,通用,wb,否,暗属性child专用，对抗世界王时，增加skill暴击伤害（普：15%/；闪：17%/）,,710,,,415,,2095,,,1667,,763,,,439,,2172,,,1702
78347,你好，我的爱人,5星,攻敏,光,通用,rb,否,光属性child专用，在副本装备时，增加暴击skill伤害（普：11%/；闪：13%/）,,710,,420,,,2095,,1674,,,763,,444,,,2172,,1709,
75613,捣蛋鬼莫娜,5星,血防,通用,干扰,wb,否,干扰型child专用，装备后对抗世界王时，增加减益中率（普：15%/；闪：16%/）,1205,,665,,,2813,,2030,,,1301,,719,,,2952,,2108,,
74430,深海之汇,5星,攻暴,暗,通用,rb,否,暗属性child专用：在副本装备时，增加TS伤害（普：5%/；闪：7%/）,,704,,,415,,2088,,,1667,,758,,,439,,2164,,,1702
72730,格外小心,5星,攻暴,木,通用,wb,否,木属性专用，装备时，对抗世界王的暴击skill伤害增加（普：15%/；闪：17%/）,,700,,,410,,2080,,,1660,,753,,,434,,2157,,,1695
71698,夏娃之怒,5星,血攻,水,通用,rb,否,水属性child专用：在副本装备时，增加TS伤害（普：8%/；闪：10%/）,1195,695,,,,2798,2073,,,,1291,748,,,,2937,2150,,,
71699,里欧的礼物,5星,血暴,通用,通用,pvp,否,装备时，在pvp中增加最终敏捷度（普：550/；闪：600/）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
70403,王子抱,5星,血敏,通用,通用,pvp,否,装备时，在PVP中增加skill量表充能量（普：3%/；闪：4%/）,1195,,,395,,2798,,,1638,,1291,,,419,,2937,,,1673,
69339,在姐姐怀里,5星,攻敏,木,通用,rb,否,木属性child专用：在副本装备时，追加弱点skill最终伤害（普：5%/XX，闪：7%/XX）,,690,,395,,,2066,,1638,,,743,,419,,,2143,,1673,
69340,意外的情人节,5星,血防,通用,通用,pvp,否,装备时，在PVP中发动攻击时回复HP（普：300/XX，闪：325/XX）,1065,,565,,,2610,,1885,,,1161,,613,,,2749,,1954,,
68058,正义的基准,5星,血攻,火,通用,wb,否,火属性child专用：装备时，对抗世界王时的弱点skill最终伤害增加（普：15%/%，闪：17%/%）,1195,685,,,,2798,2059,,,,1291,738,,,,2937,2135,,,
66529,真心的歌声,5星,血防,通用,通用,pvp,否,在PVP时，增加时间系减益回避率（普：20%/X%，闪：22%/X%）,1185,,645,,,2784,,2001,,,1281,,699,,,2923,,2079,,
65279,定装,5星,攻暴,光,通用,wb,否,光属性child专用：装备时，对抗世界王时的暴击skill伤害增加（普：10%/X%，闪：12%/X%）,,680,,,405,,2128,,,1687,,733,,,429,,2128,,,1687
65280,甜美的作曲家,5星,攻敏,通用,攻击,pvp,否,攻击型child专用：装备时，在PVP中增加SS的无视防御伤害（普：250/X，闪：300/X）,,620,,355,,,1964,,1580,,,668,,379,,,2034,,1615,
62509,第二次死亡,5星,血暴,水,通用,rb,否,增加弱点SKILL最终伤害（普：8%/X%，闪：10%/X%）,1175,,,,405,2769,,,,1653,1271,,,,429,2908,,,,1687
61204,温暖的休息时间,5星,攻敏,水,攻击,wb,否,增加弱点skill最终伤害（普：10%/X；闪：12%/X）,,675,,385,,,2044,,1624,,,728,,409,,,2121,,1658,
60242,爱恋的开始,5星,血攻,火,攻击,rb,否,在副本中，增加弱点SKILL最终伤害（普：8%/X；闪：10%/X）,1165,670,,,,2755,2037,,,,1261,723,,,,2894,2114,,,
58559,不好意思...?,5星,血暴,通用,通用,pvp,是,遭受攻击时恢复HP（普：300/X；闪：325/X）,1065,,,,355,2610,,,,1580,1161,,,,379,2749,,,,1615
58549,慵懒的海边,5星,血防,木,攻击,wb,是,在WB中增加最大攻击力（普：10%/X；闪：12%/22%）,,,,,,,,,,,,,,,,,1912,,,1468
57113,重振旗鼓,5星,血攻,火,攻击,rb,否,在副本中增加TS伤害（普：5%/10%；闪：7%/12%）,,,,,,,,,,,,,,,,,1912,,,1468
54479,满月露娜,5星,攻暴,光,攻击,wb,否,增加世界王弱点SKILL最终伤害（普：10%/X；闪：12%/X）,,660,,,395,,,,,,,708,,,419,,,,,
50272,夏日餐宴,5星,血攻,水,攻击,wb,否,wb中毒伤害增加（普：1550/X；闪：1600/X）,,,,,,,,,,,,,,,,,1912,,,1468
50271,夏日假期,5星,血防,火,干扰,pve,否,增加pve流血（普：250/X；闪：300/X）,,,,,,,,,,,,,,,,,1912,,,1468
47603,怨与业,5星,血敏,通用,通用,pvp,否,PVP增加回避率（普：5%/X；闪：7%/12%）,,,,,,,,,,,,,,,,,1912,,,1468
45460,潜水,5星,攻暴,木,通用,rb,否,在副本中增加SS暴击伤害（普：5%/X；闪：7%/12%）,,650,,,385,,2008,,,1624,,698,,,409,,2077,,,1658
41988,玫瑰花下,5星,攻敏,木,攻击,wb,否,对抗世界王时的ss伤害增加（普：5%/10%；闪：7%/X）,,645,,375,,,2001,,1609,,,693,,399,,,2070,,1644,
21011,表演的时候到了,5星,血防,通用,通用,通用,否,减益回避率增加（普：10%/15%；闪：10%/16%）,1095,,575,,,2653,,1899,,,1191,,629,,,2792,,1977,,
39097,妲比在这里,5星,血攻,光,通用,rb,否,在副本装备时，增加弱点skill最终伤害（普：5%/X；闪：7%/12%）,,,,,,,,,,,,,,,,,1912,,,1468
38436,紧张刺激扑克牌,5星,血防,通用,通用,pvp,否,增加最终防御力X（普：550/X；闪：600/X）,1065,,565,,,2610,,1885,,,1161,,613,,,2749,,1954,,
35310,灵感,5星,攻暴,暗,通用,wb,否,世界王装备时增加最大攻击力普：1150/X；闪：1175/1925,,635,,,375,,,,,,,683,,,399,,2056,,,1644
29594,百年佳約,5星,攻敏,光,攻击,rb,否,在副本装备时，增加ts伤害（普：500/750；闪：515/765）,,630,,365,,,1979,,1595,,,678,,389,,,2048,,1629,
27486,深谷落穴,5星,血攻,通用,攻击,pvp,否,PVP中增加最终暴击（普：10%/X；闪：11%/21%）,,,,,,,,,,,,,,,,,1912,,,1468
27485,沙滩陷阱的腐乳,5星,攻暴,木,攻击,5人巨型Boss,否,5人巨型Boss，Tap Skill 增加加成伤害（普：500/515；闪：750/765）,,,,,,,,,,,,,,,,,1912,,,1468
26568,斗争之心,5星,攻敏,通用,攻击,pvp,否,在pvp中发动攻击时吸收HP（普：230/x；闪：240/390）,,,,,,,,,,,,,,,,,1912,,,1468
25599,宁静时刻,5星,攻暴,水,通用,rb,否,在副本中增加slide skill暴击伤害（普：4000/6500；闪：4100/6600）,,620,,,355,,1964,,,1580,,668,,,379,,2034,,,1615
23844,蛋糕的美学,5星,血防,火,通用,wb,否,增加世界王最大防御力普：1150/1900闪：1175/1925,,,,,,,,,,,,,,,,,1912,,,1468
21007,周年纪念日,5星,血防,通用,通用,pvp,否,增加在PVP的最大攻击力（普：586/1086；闪：611/1111）,1065,,565,,,2610,,1855,,,1161,,613,,,2749,,1954,,
21008,星空舞台,5星,攻暴,暗,通用,rb,否,副本中弱点技能最终伤害增加（普：500/1000；闪：X/1050）,,615,,,345,,1957,,,1566,,663,,,369,,2027,,,1600
21009,S.O.W,5星,防敏,通用,通用,pvp,否,在PVP中增加乱舞之刃伤害（普：170/270；闪：180/280）,,,585,345,,,,1914,1566,,,,639,369,,,,1992,1600,
21010,万圣节歌姬,5星,攻敏,火,通用,wb,否,增加世界王最大攻击力（普：1150/1900；闪：1175/1925）,,610,,335,,,1950,,1551,,,658,,359,,,2019,,1586,
21013,迷途羔羊的祝福,5星,攻暴,火,通用,rb,是,在副本中增加SS技能暴击伤害（普：4000/6500；闪：X/6600）,,605,,,335,,1943,,,1551,,,,,,,2012,,,1586
21014,终极挣扎,5星,血防,通用,通用,通用,是,增加回复量（普：150/400；闪：200/450）,1015,,515,,,2537,,1812,,,1111,,563,,,2676,,1882,,
21015,无能恶魔的特训,5星,血攻,木,通用,wb,否,对抗世界王，弱点技能伤害增加（普：450/1000；闪：X/1150）,1090,600,,,,2646,1935,,,,1186,648,,,,2785,2005,,,
21016,第七次逃家,5星,攻暴,光,攻击,rb,否,在副本中增加SS技能伤害（普：750/1450；闪：800/1500）,,595,,,325,,1928,,,1537,,643,,,349,,1998,,,1571
21017,禁忌的果实,5星,血防,通用,通用,通用,否,持续回复量增加（普：100/200；闪：X/220）,1015,,515,,,2537,,1812,,,1111,,563,,,2676,,1882,,
21018,午休时刻,5星,攻敏,水,通用,wb,否,对抗世界王，增加SS技能伤害（普：750/1450；闪：800/1500）,,595,,315,,,1928,,1522,,,643,,339,,,1998,,1557,
21019,夏日庆典之夜,5星,血敏,通用,通用,pvp,否,增加在PVP中的流血伤害（普：220/320；闪：X/330）,1045,,,295,,2581,,,1493,,1141,,,319,,2720,,,1528,
21020,假期,5星,防敏,通用,通用,pvp,否,增加在PVP中的失明回避率（普：22%/42%；闪：X/43.5%）,,,545,295,,,,1856,1493,,,,593,319,,,,1925,1528,
21021,在海滩放松,5星,血攻,木,通用,rb,否,在副本中增加冰冻回避率（普：30%/X；闪：31.5%/X）,1085,585,,,,2639,1914,,,,1181,633,,,,2780,1990,,,
21022,双夜之主,5星,血暴,通用,通用,通用,是,增加吸血和吸收量（只有具有吸血或吸收技能的child可用）（普：100/300；闪：115/315）,1015,,,,265,2537,,,,1450,1111,,,,289,2676,,,,1484
21023,好友三重奏,5星,攻敏,通用,通用,pvp,是,增加在PVP的最大攻击力（普：700/X；闪：X/1225）,,575,,305,,,1899,,1508,,,,,,,,1977,,1545,
21024,神观之梦,5星,血防,通用,通用,pvp,是,增加在PVP的沉默回避率（普：20%/40%；闪：X/41.5%）,1075,,575,,,2624,,1899,,,,,,,,2769,,1977,,
21025,海岸女神,5星,攻敏,光,通用,wb,否,增加世界王最大攻击力（普：1150/1900；闪：1175/1925）,,575,,295,,,1899,,1493,,,628,,321,,,1975,,1532,
21026,徘徊的道士,5星,攻暴,木,通用,rb,否,在副本中增加TS技能伤害（普：500/750；闪：515/765）,,,,,,,,,,,,,,,,,1912,,,1468
21027,綾音,5星,血敏,通用,通用,pvp,是,在PVP中石化回避率增加（普：30%/50%；闪：X/51.5%）,,,,,,,,,,,,,,,,,1912,,,1468
21028,环,5星,攻防,通用,攻击,通用,是,击败敌人后回复HP（普：1500/3000；闪：X/3120）,,575,535,,,,1899,1841,,,,,,,,,1976,1912,,
21029,紫藤下的约定,5星,血敏,木,通用,通用,否,增加流血回避（普：35%/50%；闪：35.5%/50.5%）,1025,,,265,,2552,,,1450,,1121,,,289,,2691,,,1484,
21030,海中约会,5星,防敏,水,通用,地铁,否,在地下迷宫中增加中毒伤害（普：500/750；闪：515/765）,,,535,275,,,,1841,1464,,,,584,299,,,,1912,1499,
21031,深夜小伙伴,5星,血防,通用,防御,pvp,否,在PVP中增加伤害反射（普：3%/10.5%；闪：3.5%/12%）,995,,525,,,2508,,1827,,,1089,,573,,,2644,,1896,,
21032,S.T.F.,5星,攻暴,光,通用,通用,否,诅咒伤害增加（普：200/300；闪：220/320）,,525,,,265,,1827,,,1450,,573,,,289,,1896,,,1484
21033,狩猎恶魔的恶魔,5星,攻敏,暗,通用,rb,否,在副本中增加暴击伤害（普：4000/6500；闪：4100/6600）,,525,,265,,,1827,,1450,,,573,,289,,,1896,,1484,
21034,微笑的力量,5星,血攻,木,攻击,通用,否,增加中毒回避率（普：35%/50%；闪：35.5%/50.5%）,1015,515,,,,2537,1812,,,,1111,563,,,,2676,1882,,,
21035,贯穿天堂的骄傲,5星,攻暴,光,攻击,通用,否,一定几率无视敌人的挑衅并攻击（普：50%/65%；闪：51%/66%）,,515,,,265,,1812,,,1450,,563,,,289,,1882,,,1484
21036,与那名女祭司一起,5星,血攻,通用,通用,通用,否,增加禁止回复回避率（普：40%/65%；闪：41%/66%）,1015,515,,,,2537,1812,,,,1111,563,,,,2676,1882,,,
21012,天使般的微笑,5星,血敏,通用,通用,pvp,是,在PVP中增加中毒伤害（普：300/600；闪：X/625）,1095,,,335,,2653,,,1551,,,,,,,2792,,,1586,
21037,银河的休息处,5星,,,,,,,,,,,,,,,,,,,,,,,,,,
171908,作战会议！,4星,血防,通用,通用,通用,否,装备时，增加全部能力（普：200/；闪：/）,760,,380,,,,,,,,,,,,,,,,,
21049,巨大的休息处,4星,,,,,,,,,,,,,,,,,,,,,,,,,,
21048,今天是好孩子魔亚哦,4星,血敏,通用,通用,通用,否,增加中毒伤害（50/250）,,,,,,,,,,,,,,,,,1912,,,1468
21047,女神的洗礼,4星,血防,通用,通用,通用,否,持续回复量增加（25/125）,,,,,,,,,,,,,,,,,1912,,,1468
21046,时间结束,4星,血攻,通用,通用,pvp,否,增加在PVP中的沉默回避率（10%/16%）,,,,,,,,,,,,,,,,,1912,,,1468
21045,跳高高,4星,攻暴,火,通用,通用,否,增加流血伤害（70/150）,,,,,,,,,,,,,,,,,1912,,,1468
21044,战略家的夜晚,4星,血防,通用,防御,通用,否,增加最大防御力（10%/20%）,,,,,,,,,,,,,,,,,1912,,,1468
21043,Hero,4星,攻敏,通用,通用,pvp,否,在PVP中发动攻击时吸收HP（100/200）,,,,,,,,,,,,,,,,,1912,,,1468
21042,梦幻队伍,4星,攻防,通用,通用,通用,否,攻击敌人恢复HP（700/1500,,,,,,,,,,,,,,,,,1912,,,1468
21041,享乐之城,4星,血防,木,通用,通用,否,回复量增加（400/800）,,,,,,,,,,,,,,,,,1912,,,1468
21040,露娜,4星,防敏,通用,通用,pvp,是,在PVP中的失明回避率增加（15%/21%）,,,,,,,,,,,,,,,,,1912,,,1468
21039,女天狗,4星,血暴,光,通用,通用,是,诅咒伤害增加（75/155）,,,,,,,,,,,,,,,,,1912,,,1468
21038,Nightmare,4星,攻暴,通用,通用,pvp,是,在PVP中增加流血回避率（15%/21%）,,,,,,,,,,,,,,,,,1912,,,1468
21058,一般的休息处,3星,,,,,,,,,,,,,,,,,,,,,,,,,,
21057,海中偶像,3星,血敏,水,通用,通用,否,增加中毒伤害（30/120）,,,,,,,,,,,,,,,,,1912,,,1468
21056,最甜蜜的求婚,3星,血攻,火,通用,通用,否,增加流血伤害（20/80）,,,,,,,,,,,,,,,,,1912,,,1468
21055,秘密的约会,3星,血暴,木,通用,通用,否,增加最大HP（200/X）,,,,,,,,,,,,,,,,,1912,,,1468
21054,午后列车,3星,血防,光,通用,通用,否,诅咒伤害增加（20/X）,,,,,,,,,,,,,,,,,1912,,,1468
21053,小小袭击者,3星,攻敏,通用,攻击,通用,否,增加攻击力（300/X）,,,,,,,,,,,,,,,,,1912,,,1468
21052,认真的员工,3星,攻暴,暗,通用,通用,否,增加最大防御力（200/X）,,,,,,,,,,,,,,,,,1912,,,1468
21051,心,3星,攻敏,通用,通用,通用,否,最终暴击增加（100/X）,,,,,,,,,,,,,,,,,1912,,,1468
