id,idx,name,name_ocr,wiki_name,wiki_id,rarity,element,role,avatar_file,cp,hp,atk,def_,agl,crt,hp_init,atk_init,def_init,agl_init,crt_init,hp_max,atk_max,def_max,agl_max,crt_max,auto_text,tap_text,tap_ignited,slide_text,slide_ignited,drive_text,drive_ignited,leader_text,cv,source,avatar_source
M5-010,10,大力无双哈索尔,,大力无双哈索尔,589618,5星,光,攻击型,icons/C5f_010.png,,,,,,,,,,,,,,,,,对目标造成114（754）伤害1次,对目标造成449（105%）（3399（155.6%））伤害1次伤害加成：1名暗属性敌人350（855）伤害量,对目标造成3509（160.6%）伤害1次 伤害加成：1名暗属性敌人350（855）伤害量,对1名暗属性敌人优先造成967（3005）伤害3次，仅限于攻击目标无视防御伤害：对攻击对象680（1496）伤害量依据每个增益造成加成伤害：1名暗属性敌人（5人巨型Boss）500（1053）伤害量,对1名暗属性敌人优先造成3205伤害4次，仅限于攻击目标 无视防御伤害：对攻击对象1516伤害量 依据每个增益造成加成伤害：1名暗属性敌人（5人巨型Boss）1103伤害量,对4名敌人（低HP）造成2772（8797）伤害1次双刃剑：对自身+80%20秒内,对4名敌人（低HP）造成9457伤害1次 双刃剑：对自身+95%2回合内,攻击力：永远套用所有光属性盟友+15%冷却时间减少：永远套用所有光属性盟友（5人巨型Boss）-1秒,藤田,memorial+wiki,cn
M5-011,11,大力无双哈索尔,大力无双哈索尔·光,大力无双哈索尔,,5星,光,,icons/C5f_011.png,2272,1792,1369,691,758,812,1792,1369,691,758,812,,,,,,,,,,,,,,藤田联,memorial,dcj
M5-012,12,控制者厄芮玻丝,,控制者厄芮玻丝,587020,5星,火,辅助型,icons/C5f_012.png,,,,,,,,,,,,,,,,,对目标造成101（689）自动攻击伤害,对1名敌人造成398（2567）伤害，2名盟友（最低HP）减益回避率+20%（41.4%），持续10秒,对1名敌人造成2592伤害，2名盟友（最低HP）减益回避率+41.4%，持续12秒,对随机2名敌人造成735（4035）伤害，赋予5名火属性盟友（最高攻击力）Skill伤害+50%（115%），持续16秒，有75%（90.2%）的几率赋予所有流血的盟友净化（将流血转为持续回复）,对随机2名敌人造成4135伤害，赋予5名火属性盟友（最高攻击力）Skill伤害+140%，持续2h，有75%（90.2%）的几率赋予所有流血的盟友净化（将流血转为持续回复）,对随机3名敌人造成1894（6916）伤害，赋予3名火属性盟友（最高攻击力）攻击态势（只有拥有次此增益的Child能在Fever模式中使用Fever攻击）。在20人巨型Boss中，赋予3名火属性盟友（最高攻击力）狂暴（攻击力+90%且无敌，但效果结束时有100%的几率眩晕目标5秒），持续20秒,对随机3名敌人造成7246伤害，赋予3名火属性盟友（最高攻击力）攻击态势（只有拥有次此增益的Child能在Fever模式中使用Fever攻击）。在20人巨型Boss中，赋予3名火属性盟友（最高攻击力）狂暴（攻击力+110%且无敌，但效果结束时有100%的几率眩晕目标5秒），持续20秒,赋予火属性盟友Skill伤害+18%（在20人巨型Boss中，追加Skill伤害+20%）,田为纱兰,memorial+wiki,cn
M5-013,13,守护者荷莫妮雅,,守护者荷莫妮雅,587017,5星,木,防御型,icons/C5f_013.png,8,2491,828,6131,624,676,2491,828,6131,624,676,,,,,,对目标造成93（644）自动攻击伤害,对目标造成325（2211）伤害，并赋予3名盟友屏障+1100（1708）（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用）（优先：木属性），持续10秒,对目标造成2236伤害，并赋予3名盟友屏障+2008（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用）（优先：木属性），持续12秒,对目标造成620（3608）伤害，赋予3名盟友荆棘之盾（目标防御力+35%（51.6%），并在8秒内对攻击者造成流血【每2秒200（801）持续伤害。不可叠加】伤害）（优先：木属性），持续14秒，并有56%（95%）的几率赋予3名盟友（最低HP）不死（HP不会低于1），持续14秒。,对目标造成3702伤害，赋予3名盟友荆棘之盾（目标防御力+56.6%，并在8秒内对攻击者造成流血【每2秒801持续伤害。不可叠加】伤害）（优先：木属性），持续16秒，并有100%的几率赋予3名盟友（最低HP）不死（HP不会低于1），持续16秒。,对随机2名敌人造成1564(5514）伤害，赋予3名盟友荆棘之盾（目标防御力+45%，并在8秒内对攻击者造成流血【每2秒800持续伤害。不可叠加】伤害）（优先：最低HP），持续16秒，及屏障+2200（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用）,对随机2名敌人造成5844伤害，赋予3名盟友荆棘之盾（目标防御力+50%，并在8秒内对攻击者造成流血【每2秒800持续伤害。不可叠加】伤害）（优先：最低HP），持续16秒，及屏障+2500（在HP受影响前，吸收所有敌方攻击伤害，无法与减益屏障同时启用）,增加全体盟友的防御力+15%,佐盒薰,memorial+wiki,cn
M5-014,14,狡猾的列那,狡猬的列那,狡猾的列那,,5星,,,icons/C5f_014.png,,,,,,,,,,,,,,,,,,,,,,,,,铃代弓,memorial,
M5-015,15,严谨的拉尼,殿护的拉尼,严谨的拉尼,,5星,木,防御型,icons/C5f_015.png,2274,2504,848,1243,632,691,2504,848,1243,632,691,,,,,,,,,,,,,,野田真理爱,memorial,
M5-016,16,泽卡提,泽卡提,抵抗的泽卡提,,5星,,,icons/C5f_016.png,,,,,,,,,,,,,,,,,,,,,,,,,真野方中,memorial,dcj
M5-017,17,疾走的达利亚,,疾走的达利亚,584750,5星,水,辅助型,icons/C5f_017.png,2274,2275,1062,848,788,913,2275,1062,848,788,913,,,,,,对目标造成102（691）自动攻击伤害,造成401（2588）伤害，为2名有持续伤害减益的盟友持续回复104（274）HP（2秒1次），持续14秒。在5人巨型Boss中，有60%（90.4%）的几率为1名水属性盟友（最高攻击力）充能Skill量表。,造成2613伤害，为3名有持续伤害减益的盟友持续回复294HP（2秒1次），持续14秒。在5人巨型Boss中，有95.4%的几率为1名水属性盟友（最高攻击力）充能Skill量表。,对随机2名敌人造成727（4048）伤害，3名水属性盟友的Skill量表充能速度+50%（80.4%）（优先∶最高攻击力），持续16秒，并有70%（90.1%）几率赋予时间扭曲（移除目标全部的时间系减益，Skill量表充能速度+40%），在5人巨型Boss中skill冷却时间-2，持续16秒。,对随机2名敌人造成4148伤害，3名水属性盟友的Skill量表充能速度+85.4%（优先∶最高攻击力），持续2回合，并有95.1%几率赋予时间扭曲（移除目标全部的时间系减益，Skill量表充能速度+40%），在5人巨型Boss中skill冷却时间-2，持续2回合。,对随机3名敌人造成1883（6966）伤害，为5名有持续伤害减益的盟友持续回复285（303）HP（2秒1次）。在5人巨型Boss中赋予1名水属性盟友（最高攻击力）呐喊（攻击力+55%，最多叠加3次），持续2回合。,对随机3名敌人造成7296伤害，为5名有持续伤害减益的盟友持续回复303HP（2秒1次）。在5人巨型Boss中赋予1名水属性盟友（最高攻击力）呐喊（攻击力+55%，最多叠加3次），持续3回合。,水属性盟友Skill量表充能速度+20%（在5人巨型Boss中水属性盟友冷却时间-2秒）。,多田二の,memorial+wiki,cn
M5-018,18,抵抗的泽卡提,,抵抗的泽卡提,584749,5星,火,干扰型,icons/C5f_018.png,,,,,,,,,,,,,,,,,对目标造成103（696）自动攻击伤害,对随机1名敌人造成406（2621）伤害，2名干扰型盟友持续伤害+100（308），持续，12秒。,对随机2名敌人造成2646伤害，3名干扰型盟友持续伤害+328，持续12秒。,对2名敌人造成711（4066）伤害（优先：受减益），造成乱舞之刃（防御力下降20%，且每2秒造成250（706）持续伤害），及增益吸取（从目标移除1个增益，盟友的Drⅳe量表+50（63）），持续14秒。,对3名敌人造成4166伤害（优先：受减益），造成乱舞之刃（防御力下降20%，且每2秒造成706持续伤害），及增益吸取（从目标移除1个增益，盟友的Drⅳe量表+63）两次，持续14秒,对3名敌人造成2114（7360）伤害（优先：受减益），造成乱舞之刃（防御力下降20%，且每2秒造成300持续伤害），持续16秒，3名干扰型盟友持续伤害+700，持续16秒。,对3名敌人造成7690伤害（优先：受减益），造成乱舞之刃（防御力下降20%，且每2秒造成500持续伤害），持续16秒，3名干扰型盟友持续伤害+700，持续16秒。,火属性盟友造成+200持续伤害（在PvP中，全体敌人减益持续时间+20%）,阿部寿世,memorial+wiki,cn
M5-019,19,将成神的马尔杜克,,将成神的马尔杜克,582291,5星,光,攻击型,icons/C5f_019.png,2270,1792,1363,691,758,819,1792,1363,691,758,819,,,,,,对目标造成114（753）自动攻击伤害,对1名敌人（最高HP）造成503（3076）伤害，在20人巨型Boss中赋予自身反击姿态（无视敌人的反射及Skill伤害+13%（+40.6%）。最多叠加3次）持续15秒,对2名敌人（最高HP）造成3136伤害，在20人巨型Boss中赋予自身反击姿态（无视敌人的反射及Skill伤害+40.6%。最多叠加3次）持续2回合,对2名敌人（最高HP）造成605（130%）【4214（177.2%）】伤害，在20人巨型Boss中；对光属性敌人造成800（1905）无视防御伤害,对2名敌人（最高HP）造成4808（202.2%）伤害的2连击，对光属性敌人造成2205无视防御伤害,对4名敌人（最高HP）造成2719（8725）伤害，分解（600持续伤害，无法缩短或延长减益），持续14秒,对4名敌人（最高HP）造成9385伤害，分解（800持续伤害，无法缩短或延长减益），持续14秒,暗属性盟友SildeSkill伤害+18%（在20人巨型Boss战中，暗属性盟友+20%攻击力）,桐村b,memorial+wiki,cn
M5-020,20,石见,石见,螭龙石见,,5星,,,icons/C5f_020.png,,,,,,,,,,,,,,,,,,,,,,,,,访彩花,memorial,cn
M5-021,21,光巴里、服从边界,,光巴里、服从边界,,5星,光,辅助型,icons/C5f_021.png,2249,2262,1048,846,769,892,2262,1048,846,769,892,,,,,,,,,,,,,,访彩花,memorial,
M5-022,22,天堂莎莱斯,,天堂莎莱斯,582280,5星,木,辅助型,icons/C5f_022.png,,,,,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,对随机1名敌人造成401（2588）伤害。有65%（90.6%）的概率为2名有著持续伤害减益的盟友移除持续伤害减益，及充能Skill中的2名盟友的Skill量表+20%（+52.5%）,对随机1名敌人造成2600伤害。有90.6%的概率为2名有著持续伤害减益的盟友移除持续伤害减益，持续8秒，及充能Skill中的2名盟友的Skill量表+57.5%,对2名敌人造成727(4047)伤害（优先：最低HP），并赋予3名木属性盟友（最高攻击力）的Skill量表充能量+45%(+83%)，持续16秒。在5人巨型boss中，赋予3名木属性盟友（最高攻击力）的Tap Skill伤害+40%(+93.2%)，持续16秒,对2名敌人造成4147伤害（优先：最低HP），并赋予3名木属性盟友（最高攻击力）的Skill量表充能量+88%，持续2回合。在5人巨型boss中，赋予3名木属性盟友（最高攻击力）的Tap Skill伤害+113.2%，持续2回合,对3名随即随机敌人造成1956(7037)伤害，并对1名木属性盟友（最高攻击力）狂暴（攻击力+110%且无敌20秒。效果结束时一律对目标造成5秒晕眩）,对3名随机敌人造成7697伤害，并对3名木属性盟友（最高攻击力）狂暴（攻击力+120%且无敌20秒。效果结束时一律对目标造成5秒晕眩）,木属性队友的Tap Skill伤害+18%（在5人巨型boss中，木属性盟友的Tap Skill伤害+20%）,佐勺木未来,memorial+wiki,cn
M5-023,23,螭龙石见,,螭龙石见,582278,5星,水,干扰型,icons/C5f_023.png,2269,680,60,848,812,963,680,60,848,812,963,,,,,,对目标造成103（698）自动攻击伤害,对1名敌人造成410（2635）伤害（优先：受到减益），及减益持续时间+30%（+65.4%），持续8秒,对2名敌人造成2660伤害（优先：受到减益），及减益持续时间+65.4%，持续10秒,对2名敌人造成726（4091）伤害（优先：最低HP），造成中毒（每当目标行动造成400（1344）伤害，且再受到伤害时造成加成伤害），持续2回合。PVP中，有70%（85.2%）的概率对2名敌人造成诱惑（目标增益效果无效。除特定技能外无法移动），持续12秒,对3名敌人造成4191伤害（优先：最低HP），造成中毒（每当目标行动造成1544伤害，且再受到伤害时造成加成伤害），持续2回合。PVP中，有85.2%的概率对3名敌人造成诱惑（目标增益效果无效。除特定技能外无法移动），持续12秒,对3名敌人造成2144（7415）伤害（优先：有增益），并造成增益吸取（从目标移除1个增益，盟友的Drive量表+150），Drive量表-15%,对3名敌人造成7745伤害（优先：有增益），并造成增益吸取（从目标移除1个增益，盟友的Drive量表+150），Drive量表-20%,全体敌人的Drive量表充能量-15%,依田菜津,memorial+wiki,cn
M5-024,24,反击者格琳戴儿,反擎者格琳戴儿,反击者格琳戴儿,20745,5星,水,,icons/C5f_024.png,,,,,,,2200,892,1038,860,644,,,,,,对目标造成95自动攻击伤害,造成328伤害，2名队友（最低HP优先）回复量+30%，持续20秒,造成X伤害，3名盟友（优先：最低HP）回复量+X%，持续20秒,造成482伤害，2名队友回复1211HP（最低HP优先），减益持续时间-20%，持续14秒,造成X伤害，3名盟友回复XHP（优先：最低HP），且减益持续时间-X%，减益效果回避率+X%，持续16秒,对随机2名敌人造成1475伤害，3名队友回复1089HP（最低HP优先），如果被回复的队友有减益，最大HP+1200，持续16秒,对随机2名敌人造成X伤害，4名盟友回复XHP（优先：最低HP），如果目标有减益，最大HP+X，持续16秒,为水属性盟友回复+15%,堀龙沙耶,memorial+wiki,cn
M5-025,25,夜之狄雅努斯,,夜之狄雅努斯,580152,5星,暗,攻击型,icons/C5f_025.png,2245,1774,1353,678,745,806,1774,1353,678,745,806,,,,,,对目标造成114（751）自动攻击伤害,对2名敌人造成497（3057）伤害（优先：攻击型），伤害共振（对最多2名目标外最低HP的敌人造成对目标所造成的13%（33%）伤害），持结16秒,对2名敌人造成3117伤害（优先：攻击型），伤害共振（对最多2名目标外最低HP的敌人造成对目标所造成的38%伤害），持续16秒，并在PVP中有95.1%的机率赋予自身时间扭曲（移除目标全部的时间系减益，Skill量表充能速度+40%）持续16秒,对2名敌人造成986（4653）伤害的2连击（优先：伤害共振），对2名敌人（优先：在PvP中最低HP）造成480（1296）加成伤害，和800（1980）魔力伤害（对目标造成加成伤害。增加暴击和弱点伤害）,对2名敌人造成4853伤害的3连击（优先：伤害共振），对2名敌人（优先：在PvP中最低HP）造成1296加成伤害，和2980魔力伤害（对目标造成加成伤害。增加暴击和弱点伤害）,对4名敌人造成2657（8602）伤害（优先：光属性）,对全体敌人造成9262伤害,暗属性盟友SildeSkill伤害+20%（在PvP中自身Skill冷却时间-2秒）,筏井女元,memorial+wiki,cn
M5-026,26,诈欺师杜莎,,诈欺师杜莎,580148,5星,光,辅助型,icons/C5f_026.png,,,,,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,对1名敌人造成405（2592）伤害（优先：光属性），有60%（90.4%）的机率充满1名暗属性盟友（自身除外）的Skill量表（优先：高攻击力）,对1名敌人造成2614伤害（优先：光属性），有95.4%的机率充满2名暗属性盟友（自身除外）的Skill量表（优先：高攻击力）,对2名敌人造成764（4084）伤害（优先：光属性），增加3名暗属性盟友（高攻击力）的Skill量表充能速度+50%（80.4%），持续16秒，且Slide Skill伤害+55%（95.1%）,对2名敌人造成4184伤害（优先：光属性），增加3名暗属性盟友（高攻击力）的Skill量表充能速度+85.4%，持续2回合，且Side Sill伤害+105.1%,对3名敌人造成1957（7044）伤害（优先：光属性），有80%的机率充满3名暗属性盟友（自身除外）的Skill量表并在5人巨型Boss中，赋予1名暗属性盟友（高攻击力）呐喊（攻击力+55%，最多叠加3次），持续2回合,对3名敌人造成7374伤害（优先：光属性），有90%的机率充满3名暗属性盟友（自身除外）的Skill量表并在5人巨型Boss中，赋予1名暗属性盟友（高攻击力）呐喊（攻击力+55%，最多叠加3次），持续3回合,暗属性盟友Skill量表充能速度+20%（在5人巨型Boss中，暗属性盟友冷却时间- 1秒）,野水伊织,memorial+wiki,cn
